step,price,realized_pnl,forced_exit,exit_reason
1868,84174.7890625,-425.794734033278,False,
1869,84530.1015625,-425.794734033278,False,
1870,84350.0,-425.794734033278,False,
1948,86532.0703125,-178.1349845611156,True,take_profit
1949,86841.828125,-178.1349845611156,False,
1950,86899.7265625,-178.1349845611156,False,
1951,87113.3671875,-178.1349845611156,False,
1952,86874.5234375,-178.1349845611156,False,
1953,87416.3515625,-178.1349845611156,False,
1960,88350.0078125,-40.633144407308976,True,take_profit
1961,88057.5390625,-40.633144407308976,False,
1962,88461.8828125,-40.633144407308976,False,
1963,88464.3828125,-40.633144407308976,False,
1964,88222.0,-40.633144407308976,False,
1965,87832.0,-40.633144407308976,False,
1970,87088.3125,-175.00146863927205,True,stop_loss
1971,86854.9375,-175.00146863927205,False,
1972,86520.8828125,-175.00146863927205,False,
1973,86547.171875,-175.00146863927205,False,
1974,86656.0703125,-175.00146863927205,False,
1975,86534.5,-175.00146863927205,False,
2047,85719.2734375,-285.5859541622528,True,stop_loss
2048,85212.9921875,-285.5859541622528,False,
2049,85213.8671875,-285.5859541622528,False,
2050,85148.0,-285.5859541622528,False,
2051,84941.4921875,-285.5859541622528,False,
2052,85255.2578125,-285.5859541622528,False,
2055,84172.0078125,-405.3647585245343,True,stop_loss
2056,84051.15625,-405.3647585245343,False,
2057,83794.7265625,-405.3647585245343,False,
2058,84008.453125,-405.3647585245343,False,
2059,83880.0,-405.3647585245343,False,
2060,83790.7265625,-405.3647585245343,False,
2075,82927.8125,-524.5738571907671,True,stop_loss
2076,82293.5625,-524.5738571907671,False,
2077,82462.703125,-524.5738571907671,False,
2078,82851.953125,-524.5738571907671,False,
2079,82504.0078125,-524.5738571907671,False,
2080,82414.2265625,-524.5738571907671,False,
2116,81530.0,-643.7316577169843,True,stop_loss
2117,81846.0078125,-643.7316577169843,False,
2118,82166.9921875,-643.7316577169843,False,
2119,82052.828125,-643.7316577169843,False,
2120,81933.5078125,-643.7316577169843,False,
2121,81899.1484375,-643.7316577169843,False,
2127,83499.1796875,-482.899704203109,True,take_profit
2128,83418.78125,-482.899704203109,False,
2129,83288.890625,-482.899704203109,False,
2130,82680.34375,-482.899704203109,False,
2131,83291.421875,-482.899704203109,False,
2132,82462.2734375,-482.899704203109,False,
2175,85877.75,-172.00615752072372,True,take_profit
2176,86757.671875,-172.00615752072372,False,
2177,87065.1796875,-172.00615752072372,False,
2178,86615.328125,-172.00615752072372,False,
2179,86286.0234375,-172.00615752072372,False,
2180,86900.0234375,-172.00615752072372,False,
2181,85659.9921875,-299.6552811209633,True,stop_loss
2182,84855.9921875,-299.6552811209633,False,
2183,82821.59375,-345.6682202530207,True,stop_loss
2184,82516.2890625,-345.6682202530207,False,
2185,83227.546875,-345.6682202530207,False,
2186,83761.6171875,-345.6682202530207,False,
2187,83768.0078125,-345.6682202530207,False,
2188,83483.96875,-345.6682202530207,False,
2189,83558.796875,-345.6682202530207,False,
2190,83343.75,-345.6682202530207,False,
2191,83058.6484375,-345.6682202530207,False,
2192,83456.75,-345.6682202530207,False,
2224,82860.0,-349.5279734342141,False,
2225,83392.703125,-349.49824623201505,False,
2226,84460.0,-349.49824623201505,False,
2227,83989.8671875,-346.77442480714365,False,
2228,84009.9921875,-346.77442480714365,False,
2229,84164.0234375,-346.77442480714365,False,
2230,84185.796875,-346.77442480714365,False,
2231,84056.7421875,-346.77442480714365,False,
2232,83889.8671875,-346.77442480714365,False,
2233,83787.6015625,-346.77442480714365,False,
2274,80808.8125,-648.5481153787587,True,stop_loss
2275,79107.296875,-648.5481153787587,False,
2276,79614.3515625,-648.5481153787587,False,
2277,78867.9921875,-648.5481153787587,False,
2278,78950.609375,-648.5481153787587,False,
2279,78063.65625,-754.5879002624068,True,stop_loss
2280,78430.0,-754.5879002624068,False,
2281,78327.8671875,-754.5879002624068,False,
2282,79142.0078125,-754.5879002624068,False,
2283,78447.421875,-754.5879002624068,False,
2284,77707.7734375,-754.5879002624068,False,
2285,76989.921875,-907.6050130764172,True,stop_loss
2286,76942.8203125,-907.6050130764172,False,
2287,74810.0078125,-951.6842310124905,True,stop_loss
2288,75126.0078125,-951.6842310124905,False,
2289,76266.890625,-951.6842310124905,False,
2290,76274.5625,-951.6842310124905,False,
2291,76983.6015625,-951.6842310124905,False,
2292,76685.6171875,-951.6842310124905,False,
2293,77335.890625,-951.6842310124905,False,
2294,78365.46875,-840.5779767040307,True,take_profit
2295,79033.109375,-840.5779767040307,False,
2296,78479.8984375,-840.5779767040307,False,
2297,77434.0078125,-840.5779767040307,False,
2298,79074.5,-840.5779767040307,False,
2299,78484.90625,-840.5779767040307,False,
2300,78130.4375,-840.5779767040307,False,
2301,78955.2578125,-840.5779767040307,False,
2302,79239.421875,-840.5779767040307,False,
2303,79956.46875,-840.5779767040307,False,
2304,79163.2421875,-840.5779767040307,False,
2305,79020.0390625,-840.5779767040307,False,
2306,80599.9921875,-840.5779767040307,False,
2307,79947.046875,-840.5779767040307,False,
2308,79904.0,-840.5779767040307,False,
2309,80300.0,-840.5779767040307,False,
2310,79872.25,-840.5779767040307,False,
2311,79447.296875,-840.5779767040307,False,
2312,79496.0,-840.5779767040307,False,
2313,79154.0234375,-840.5779767040307,False,
2314,78900.0,-840.5779767040307,False,
2315,79003.5390625,-840.5779767040307,False,
2316,79982.0,-840.5779767040307,False,
2317,79837.9921875,-840.5779767040307,False,
2318,79899.8984375,-840.5779767040307,False,
2319,78479.90625,-840.5779767040307,False,
2320,78497.9921875,-847.3529065781448,False,
2321,77414.25,-847.3529065781448,False,
2322,77349.9921875,-852.5864435551587,False,
2323,77259.90625,-853.7138611121192,False,
2324,76854.046875,-1073.5926824608425,True,stop_loss
2325,77133.40625,-1073.5926824608425,False,
2326,77100.0,-1073.5926824608425,False,
2327,76731.2109375,-1073.5926824608425,False,
2328,76322.421875,-1073.5926824608425,False,
2329,76522.0703125,-1073.5926824608425,False,
2330,76070.53125,-1073.5926824608425,False,
2331,75674.4375,-1162.5911588590614,True,stop_loss
2332,75073.328125,-1162.5911588590614,False,
2333,76416.34375,-1162.5911588590614,False,
2334,76734.828125,-1162.5911588590614,False,
2335,76829.0234375,-1162.5911588590614,False,
2336,77694.1171875,-1162.5911588590614,False,
2337,77304.3515625,-1162.5911588590614,False,
2338,77478.2578125,-1162.5911588590614,False,
2339,77190.0,-1162.5911588590614,False,
2340,76230.0078125,-1162.5911588590614,False,
2341,76760.859375,-1162.5911588590614,False,
2342,77698.1171875,-1162.5911588590614,False,
2343,76870.0,-1162.5911588590614,False,
2344,77258.0,-1160.158296630429,False,
2345,78267.6796875,-1019.6624981617697,True,take_profit
2346,82202.15625,-1019.6624981617697,False,
2347,81788.3671875,-1019.6624981617697,False,
2348,82332.078125,-1019.6624981617697,False,
2349,83204.0,-1019.6624981617697,False,
2350,83284.2890625,-1019.6624981617697,False,
2351,83056.828125,-1019.6624981617697,False,
2352,82615.21875,-1019.6624981617697,False,
2353,82352.8515625,-1019.6624981617697,False,
2354,82249.2890625,-1019.6624981617697,False,
