total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown,final_capital,peak_capital,minimum_capital,number_of_trades,number_of_closing_trades,win_rate,average_win,average_loss,profit_factor,expectancy,checkpoint
-0.19066444886142572,-0.3535309843125235,-0.3535309843125235,0.23202860884124174,-1.4223794693361298,-1.9795967052643568,-1.2274988481279556,0.2880092187880172,0.022749578379710048,3855,8093.355511385723,10662.533717071085,7591.625710916535,1529,1528,0.4162303664921466,13.572008664533781,11.829612116504826,0.8146941838614105,-1.2796790364161463,25000
-0.2820449757515564,-0.8068984631127936,-0.8068984631127936,0.20739929886134054,-6.461225914703163,-8.429020999528692,-2.667124780251357,0.3025349504033138,0.03314761920995595,1342,7179.550242484429,10293.777798093353,7179.550242484429,751,750,0.4146666666666667,9.806180406390817,13.341299690688883,0.5242182632141066,-3.6905800053460185,75000
-0.29241836345366656,-0.7291199717325301,-0.7291199717325301,0.196492117376416,-5.403048035517173,-6.926424344774801,-2.3874925606692603,0.3053915156611603,0.015850964075476977,1615,7075.816365463354,10186.769273626736,7075.816365463354,1053,1053,0.4349477682811016,6.867194023054474,10.200602516127113,0.518205484824139,-2.777002501934172,100000
-0.29162830635089065,-0.7670622924087407,-0.7670622924087407,0.21380454786903275,-5.5316158785703164,-7.187604093090311,-2.5564455829713757,0.3000503110718197,0.05115807599158791,2010,7083.716936491099,10120.323001126344,7083.716936491099,805,804,0.46766169154228854,10.333908863192283,15.85508810272538,0.5724322045104808,-3.6097518786673763,125000
-0.14017840804900597,-0.26761342220073503,-0.26761342220073503,0.1133569535677219,-2.2144037503807463,-3.075488498676049,-1.6764581942028656,0.15963023899202078,0.02760178356888132,4185,8598.215919509941,10081.412176678805,8472.113941538473,875,874,0.45537757437070936,8.944569760890312,10.442578603120324,0.7149898665472535,-1.6209274408726237,150000
-0.2746539039576506,-0.8826200875711574,-0.8826200875711574,0.18803681095906924,-9.348693406620749,-11.614075550456269,-3.187571493816673,0.27689420905014517,0.05676357021209696,1254,7253.4609604235175,10030.981705865679,7253.4609604235175,594,593,0.403035413153457,7.195342602482539,12.580918088929113,0.3934863296009445,-4.469980517474837,175000
-0.23987418853139333,-0.4319738065811862,-0.4319738065811862,0.11443364266893745,-4.0372829324331,-5.443605970411949,-1.7842114968242586,0.24210908143460685,0.12107926241026551,4245,7601.258114686033,10007.292726434413,7584.436276790149,1025,1024,0.4423828125,6.72201924514473,9.51716189399383,0.559405733816678,-2.3421242159193327,200000
-0.27394045105920994,-0.7142019059923153,-0.7142019059923153,0.16296749641491154,-6.285744367606525,-8.008367039457612,-2.602864896948237,0.2743906942037947,0.1372360583447445,2236,7260.595489407894,10006.205035423221,7260.595489407894,956,956,0.48640167364016734,6.393192696406823,11.633888216743946,0.5204324511422975,-2.8654858897406967,225000
-0.2768530097146905,-0.7225007644353689,-0.7225007644353689,0.14505180936545004,-7.253675500186597,-8.95685912309471,-2.6055124412816095,0.27729699270980357,0.1387002052230579,2212,7231.4699028531,10006.143367201103,7231.4699028531,806,805,0.41490683229813663,5.71520078475463,9.909760930624879,0.41012648288495573,-3.41054012885117,250000
-0.26741933059743933,-0.7067709972721774,-0.7067709972721774,0.13311704808946537,-7.5749937265357445,-9.140389369717736,-2.6378584855653973,0.267933629169151,0.09049663367400802,2201,7325.806694025621,10007.025299784345,7325.806694025621,813,813,0.4317343173431734,5.4126679847518195,9.9005189797019,0.41535416366091876,-3.289290659255092,275000
-0.19366025664682185,-0.3584558923820167,-0.3584558923820167,0.06458288379173234,-5.671121654677558,-7.152440514620712,-1.8025775819516097,0.1988574006306706,0.042067541055648666,4195,8063.397433531793,10041.41416424105,8044.604644884062,936,935,0.5262032085561498,2.950707822835486,7.655308178614239,0.42862396957017806,-2.072415403502036,300000
