step,price,realized_pnl,cumulative_realized_pnl,forced_exit,exit_reason
52,98200.0,0.0,0.0,False,
53,98001.0,0.0,0.0,False,
56,98271.8828125,0.0,0.0,False,
59,97789.3203125,0.0,0.0,False,
61,97888.1171875,0.0,0.0,False,
65,97704.6015625,0.0,0.0,False,
68,98166.2578125,0.0,0.0,False,
71,98417.25,0.0,0.0,False,
72,98220.5,0.0,0.0,False,
73,98213.4296875,0.0,0.0,False,
74,98123.53125,0.0,0.0,False,
76,98187.9609375,0.0,0.0,False,
80,98268.7734375,0.0,0.0,False,
83,97737.4765625,0.0,0.0,False,
102,99600.0,145.14521471521454,145.14521471521454,True,take_profit
104,99318.703125,0.0,145.14521471521454,False,
105,99043.4921875,0.0,145.14521471521454,False,
106,98999.9921875,0.0,145.14521471521454,False,
107,98767.9609375,0.0,145.14521471521454,False,
108,99259.9921875,0.0,145.14521471521454,False,
109,99157.1171875,0.0,145.14521471521454,False,
111,100737.03125,85.14473720923135,230.2899519244459,True,take_profit
112,102147.953125,0.0,230.2899519244459,False,
115,101738.796875,0.0,230.2899519244459,False,
116,101817.21875,0.0,230.2899519244459,False,
117,102127.3828125,0.0,230.2899519244459,False,
118,101611.921875,0.0,230.2899519244459,False,
119,102011.9765625,0.0,230.2899519244459,False,
121,102042.4609375,0.0,230.2899519244459,False,
122,101915.65625,0.0,230.2899519244459,False,
123,101677.65625,0.0,230.2899519244459,False,
124,101708.078125,0.0,230.2899519244459,False,
132,100830.859375,-115.36041708268561,114.92953484176027,True,stop_loss
134,100636.796875,0.0,114.92953484176027,False,
135,99979.6875,0.0,114.92953484176027,False,
136,97952.2578125,-71.74203271377482,43.187502127985454,True,stop_loss
137,97733.578125,0.0,43.187502127985454,False,
138,97277.3125,0.0,43.187502127985454,False,
139,96750.859375,0.0,43.187502127985454,False,
140,96451.9765625,-19.07714327897046,24.110358849014993,True,stop_loss
142,96501.21875,0.0,24.110358849014993,False,
143,97164.0,0.0,24.110358849014993,False,
144,96954.609375,0.0,24.110358849014993,False,
146,96907.1484375,0.0,24.110358849014993,False,
147,96878.140625,0.0,24.110358849014993,False,
148,96525.203125,0.0,24.110358849014993,False,
151,95284.3125,-73.35275664398428,-49.242397794969285,True,stop_loss
166,94468.96875,0.0,-49.242397794969285,False,
169,95135.296875,0.0,-49.242397794969285,False,
170,94983.8203125,0.0,-49.242397794969285,False,
171,94776.9921875,0.0,-49.242397794969285,False,
172,94027.8984375,0.0,-49.242397794969285,False,
173,94424.2421875,0.0,-49.242397794969285,False,
177,93030.8671875,-177.54489697548877,-226.78729477045806,True,stop_loss
178,93516.6171875,0.0,-226.78729477045806,False,
179,93462.4296875,0.0,-226.78729477045806,False,
180,93465.2265625,0.0,-226.78729477045806,False,
181,93421.9375,0.0,-226.78729477045806,False,
182,91986.421875,-106.90641309895443,-333.6937078694125,True,stop_loss
183,92863.796875,0.0,-333.6937078694125,False,
190,92108.84375,0.0,-333.6937078694125,False,
191,92456.3203125,0.0,-333.6937078694125,False,
192,92552.4921875,0.0,-333.6937078694125,False,
193,92775.84375,0.8383686956344718,-332.855339173778,False,
198,93956.828125,0.0,-332.855339173778,False,
209,93645.046875,1.1095941425747924,-331.7457450312032,False,
210,95793.046875,172.1704409234659,-159.57530410773734,True,take_profit
211,94861.6171875,0.0,-159.57530410773734,False,
214,94613.2578125,0.0,-159.57530410773734,False,
220,94206.953125,0.0,-159.57530410773734,False,
230,94400.0078125,0.0,-159.57530410773734,False,
243,94625.25,0.0,-159.57530410773734,False,
246,94571.4296875,0.0,-159.57530410773734,False,
249,94170.0078125,0.0,-159.57530410773734,False,
250,93906.21875,0.0,-159.57530410773734,False,
253,94328.203125,0.0,-159.57530410773734,False,
254,94663.78125,0.0,-159.57530410773734,False,
255,94811.0,0.0,-159.57530410773734,False,
273,93039.1015625,-151.91554420067877,-311.4908483084161,True,stop_loss
274,92846.7890625,0.0,-311.4908483084161,False,
275,91644.9609375,-20.516255255278907,-332.007103563695,True,stop_loss
276,90851.21875,0.0,-332.007103563695,False,
277,90732.0,0.0,-332.007103563695,False,
278,91131.40625,0.0,-332.007103563695,False,
279,91833.03125,0.0,-332.007103563695,False,
280,92123.75,0.0,-332.007103563695,False,
281,91343.203125,0.0,-332.007103563695,False,
282,91983.9609375,0.0,-332.007103563695,False,
283,92077.6484375,1.9561616565816848,-330.0509419071133,False,
284,92312.1796875,0.0,-330.0509419071133,False,
285,93575.53125,208.44399292991002,-121.6069489772033,True,take_profit
286,94193.4921875,0.0,-121.6069489772033,False,
287,94399.9765625,0.0,-121.6069489772033,False,
288,94536.1015625,0.0,-121.6069489772033,False,
289,94470.7734375,0.0,-121.6069489772033,False,
290,94834.5,0.0,-121.6069489772033,False,
292,94861.3984375,0.0,-121.6069489772033,False,
293,95119.1875,0.0,-121.6069489772033,False,
314,97349.6171875,282.8592663386216,161.25231736141828,True,take_profit
315,96824.0625,0.0,161.25231736141828,False,
317,97189.7109375,0.0,161.25231736141828,False,
318,97029.96875,0.0,161.25231736141828,False,
322,96816.46875,0.0,161.25231736141828,False,
323,96933.59375,0.0,161.25231736141828,False,
327,99434.40625,112.15818198375436,273.41049934517264,True,take_profit
329,98995.578125,0.0,273.41049934517264,False,
330,98645.6484375,0.0,273.41049934517264,False,
331,99446.140625,0.0,273.41049934517264,False,
339,99637.7734375,0.0,273.41049934517264,False,
340,99478.03125,0.0,273.41049934517264,False,
341,99610.0,0.0,273.41049934517264,False,
342,99382.109375,0.0,273.41049934517264,False,
343,99801.2265625,0.0,273.41049934517264,False,
344,99799.9921875,0.0,273.41049934517264,False,
345,98955.796875,0.0,273.41049934517264,False,
346,99152.9296875,0.0,273.41049934517264,False,
348,99158.7109375,0.0,273.41049934517264,False,
351,97618.890625,-151.77479620028473,121.63570314488791,True,stop_loss
353,99346.390625,0.0,121.63570314488791,False,
354,99838.5390625,0.0,121.63570314488791,False,
356,100417.203125,0.0,121.63570314488791,False,
359,99838.25,0.0,121.63570314488791,False,
362,101659.796875,0.0,121.63570314488791,False,
363,101100.0,0.0,121.63570314488791,False,
366,101334.046875,0.0,121.63570314488791,False,
368,101440.5,0.0,121.63570314488791,False,
369,102136.0078125,111.55590921555583,233.19161236044374,True,take_profit
379,104835.6796875,0.0,233.19161236044374,False,
385,104656.8671875,0.0,233.19161236044374,False,
386,104268.140625,0.0,233.19161236044374,False,
388,103559.8203125,-40.6638032015442,192.52780915889954,True,stop_loss
389,103599.2734375,0.0,192.52780915889954,False,
392,102821.75,0.0,192.52780915889954,False,
393,103272.0,0.0,192.52780915889954,False,
398,104365.8125,0.0,192.52780915889954,False,
399,103993.03125,0.0,192.52780915889954,False,
401,103253.65625,0.0,192.52780915889954,False,
402,103826.15625,0.0,192.52780915889954,False,
403,104084.7421875,0.0,192.52780915889954,False,
405,104035.421875,0.0,192.52780915889954,False,
407,104291.296875,0.0,192.52780915889954,False,
408,104556.2265625,0.0,192.52780915889954,False,
409,104108.0,0.0,192.52780915889954,False,
428,106200.0,210.76773080043122,403.29553995933077,True,take_profit
432,101331.5703125,0.0,403.29553995933077,False,
433,99794.5078125,0.0,403.29553995933077,False,
434,100692.8203125,-1.9919504823964758,401.3035894769343,False,
435,101926.421875,0.0,401.3035894769343,False,
436,101891.9296875,1.4027288091950254,402.7063182861293,False,
438,102344.203125,0.0,402.7063182861293,False,
439,107486.5,68.70693707816821,471.4132553642975,True,take_profit
440,107120.6484375,0.0,471.4132553642975,False,
441,108320.0078125,1.4388785449283432,472.85213390922587,False,
444,108239.1875,0.0,472.85213390922587,False,
446,107956.3125,0.0,472.85213390922587,False,
447,107866.6484375,-0.42327910387552947,472.42885480535034,False,
448,104957.9921875,0.0,472.42885480535034,False,
450,102963.3203125,-37.9581989284988,434.47065587685154,True,stop_loss
451,103930.65625,0.0,434.47065587685154,False,
452,103691.6328125,-1.247573818519129,433.2230820583324,False,
453,103647.15625,0.0,433.2230820583324,False,
454,102596.0,-6.8308132140747375,426.39226884425767,False,
455,103608.0,0.0,426.39226884425767,False,
456,102260.0078125,0.0,426.39226884425767,False,
457,101187.75,0.0,426.39226884425767,False,
459,102545.5625,-4.937159724521393,421.4551091197363,False,
460,102936.0078125,-1.4846840668394634,419.9704250528968,False,
461,102344.203125,-2.363633326002514,417.6067917268943,False,
463,102176.0390625,-1.4923602725177147,416.1144314543766,False,
464,101989.046875,0.0,416.1144314543766,False,
465,102466.8125,0.7175607347630262,416.8319921891396,False,
466,102707.078125,0.0,416.8319921891396,False,
467,103160.8515625,3.049293719509649,419.88128590864926,False,
468,103758.25,0.0,419.88128590864926,False,
469,104519.9765625,7.910785646301235,427.7920715549505,False,
470,104457.0703125,0.0,427.7920715549505,False,
471,103260.90625,0.0,427.7920715549505,False,
