step_return,sharpe_reward,drawdown_penalty,overtrade_penalty,total_reward
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
-4.157849182211067e-05,-0.001383238539888169,4.157849182211067e-06,4.1588883846998217e-05,-0.00022564907884013686
-0.00018438098187549442,-0.0056065097176086235,2.2595180741445803e-05,0.0002,-0.0009676271343778027
-0.001787722567513042,-0.03765369366754306,0.0002013270435782215,4.941645660369759e-05,-0.005803835434449267
-8.756693302632461e-05,-0.03289592034414801,0.00021006610728911256,0.00010697756554793897,-0.0036942026402781774
-0.0008921055498659817,-0.04023779902993501,0.00029908926113555935,8.51424960325576e-05,-0.0053001172100275995
-8.119762793681133e-05,-0.03626358599340771,0.00030718473859069496,8.1217922270298e-05,-0.004095958888138575
-0.00019053171864508113,-0.034332029297461784,0.0003261793820190178,3.6733165108696e-05,-0.003986647195518974
0.00022609162972898097,-0.028761488001860062,0.0003036439654741844,4.505805805274057e-06,-0.0029582069417364836
-4.972103529618283e-05,-0.026628592823467915,0.00030860097151147784,0.00016515952612507044,-0.003186340815279523
0.002574503641024217,-0.003914765464350258,5.1945101733836055e-05,3.7736100166951115e-05,0.002093345892688404
0.0005844852888328034,0.0004948535553435556,0.0,3.30878743862823e-05,0.0006008827699808766
0.0008727369762085747,0.006169418544417222,0.0,0.0002,0.0012896788306502969
-0.0003341790920238654,0.003726295240571453,3.3417909202386544e-05,5.384014273178364e-05,-4.880761990089028e-05
1.4124564949565843e-05,0.003583763749331595,3.2005924720858964e-05,2.4757411335199585e-05,0.00031573760382666674
0.0,0.0033809688307675874,3.2005924720858964e-05,0.0,0.0003060909583558998
0.0,0.003200099578611937,3.2005924720858964e-05,0.0,0.0002880040331403348
-0.00019995002498742902,0.0020624166187026604,5.1994527634154186e-05,0.0002,-0.00024570289075131715
-1.271106985586579e-05,0.0019039638157191802,5.326497371366788e-05,0.00017109355921214034,-4.6673221209755976e-05
7.00601426085476e-05,0.002126599073414453,4.626269120446754e-05,2.885140748937833e-05,0.00020760595125614704
0.0,0.0020332191011183352,4.626269120446754e-05,0.0,0.000157059218907366
0.0,0.0019477613620186487,4.626269120446754e-05,0.0,0.00014851344499739735
-0.0001126764651400986,0.001430721669944059,5.752512500196461e-05,0.00011270462721586228,-0.0001398340503635196
0.00034832103075292176,0.002677476928700387,2.2713059137507314e-05,0.00011266099730726585,0.0004806946671781872
0.0,0.0025777519375037123,2.2713059137507314e-05,2.9804068617522717e-06,0.00023208172775111165
0.0,0.0024852457581754656,2.2713059137507314e-05,0.0,0.00022581151668003924
0.0,0.0023991990720981897,2.2713059137507314e-05,0.0,0.00021720684807231168
0.0,0.002318955680253374,2.2713059137507314e-05,3.8047689013183117e-06,0.0002053777399865118
0.0,0.002243945546920505,2.2713059137507314e-05,0.0,0.00020168149555454322
-0.0001349675087170598,0.0017638284320932718,3.620674448420616e-05,0.00013500124216079713,-0.0001297926521527359
-7.434536506663982e-05,0.0014914281157336463,4.363858918723359e-05,0.00020000000000000004,-0.00016884114268050882
-0.0026961637460970367,-0.006163402263896482,0.00031313730701483983,0.0002,-0.003825641279501525
0.0006203740332770483,-0.004288103540568936,0.0002512941659412573,0.00013494578202868728,-0.0001946762687497899
