step,capital
0,9999.46383015348
1,10000.339001185166
2,9999.873937244933
3,9999.873937244933
4,9999.873937244933
5,9997.87446220131
6,9992.748741078638
7,10003.946239787649
8,10006.795405605617
9,10007.256670069273
10,10006.90025712255
11,10005.513721809803
12,10005.513721809803
13,10005.513721809803
14,10005.513721809803
15,10005.513721809803
16,10004.43780190266
17,10004.96344988131
18,10004.96344988131
19,10002.962957189508
20,10000.133885315674
21,9999.51375377235
22,9999.51375377235
23,9999.51375377235
24,9999.51375377235
25,9999.51375377235
26,9999.51375377235
27,9999.51375377235
28,9999.51375377235
29,9999.51375377235
30,9999.51375377235
31,9999.51375377235
32,9999.51375377235
33,9999.51375377235
34,9999.326120840988
35,9996.42777062807
36,10002.894529693629
37,10001.62890373529
38,9996.588844582006
39,9989.510101775408
40,9985.343314258038
41,9944.91751890225
42,10020.7825160833
43,10024.60570336856
44,10093.289696426986
45,10061.492363052253
46,10182.363386539766
47,10172.559145235853
48,10156.719545982249
49,10082.50988976546
50,10156.5082595389
51,10060.299848938394
52,10056.370990758405
53,10070.946483052974
54,10054.978492738037
55,10068.176914068736
56,10074.95217010595
57,10077.678902974672
58,10098.896891352997
59,10092.21086207203
60,10095.035236800177
61,10093.413655654214
62,10104.430720102238
63,10103.803388617476
64,10103.803388617476
65,10103.803388617476
66,10103.803388617476
67,10103.803388617476
68,10103.803388617476
69,10103.803388617476
70,10103.205936147751
71,10110.297912070146
72,10110.297912070146
73,10110.297912070146
74,10110.297912070146
75,10109.87439201969
76,10110.741747561207
77,10110.741747561207
78,10110.741747561207
79,10110.741747561207
80,10110.741747561207
81,10110.741747561207
82,10110.741747561207
83,10110.741747561207
84,10110.741747561207
85,10110.741747561207
86,10110.741747561207
87,10110.741747561207
88,10110.599108556664
89,10111.032894839418
90,10111.032894839418
91,10111.032894839418
92,10111.032894839418
93,10111.032894839418
94,10111.032894839418
95,10111.032894839418
96,10111.032894839418
97,10111.032894839418
98,10111.032894839418
99,10111.032894839418
100,10111.032894839418
101,10111.032894839418
102,10111.032894839418
103,10111.032894839418
104,10111.032894839418
105,10111.032894839418
106,10111.032894839418
107,10110.122700210737
108,10110.027764432429
109,10108.145405016492
110,10100.9584920717
111,10112.4179874605
112,10120.450939021126
113,10104.935462563215
114,10080.640917476343
115,10067.04748269542
116,9922.505749939006
117,9922.505749939006
118,9920.521744666368
119,9931.393994397298
120,9920.587181830595
121,9918.566638175816
122,9942.370473961564
123,9930.38144712102
124,9973.403172622975
125,10016.213937754039
126,10019.352801030322
127,10076.220338139168
128,10056.025849182328
129,10013.594434314611
130,10039.622970837705
131,10026.995403924211
132,10015.37538458875
133,10072.838677634183
134,10054.311385223418
135,10130.749822425852
136,10128.724178745717
137,10132.15981357247
138,10089.306926373796
139,10089.306926373796
140,10089.306926373796
141,10089.306926373796
142,10089.306926373796
143,10089.020705587458
144,10090.572429042544
145,10090.572429042544
146,10090.572429042544
147,10090.572429042544
148,10090.572429042544
149,10090.572429042544
150,10090.572429042544
151,10090.572429042544
152,10090.572429042544
153,10090.572429042544
154,10090.572429042544
155,10090.572429042544
156,10090.572429042544
157,10090.572429042544
158,10088.554818833218
159,10088.689676199187
160,10087.634180029117
161,10087.634180029117
162,10087.634180029117
163,10087.634180029117
164,10087.634180029117
165,10087.634180029117
166,10087.133443111357
167,10084.84509420294
168,10084.84509420294
169,10084.84509420294
170,10084.84509420294
171,10084.84509420294
172,10084.84509420294
173,10084.84509420294
174,10083.960320264872
175,10085.66387046882
176,10084.500862280693
177,10081.505962954627
178,10075.438066483166
179,10076.492569022379
180,10086.716401319536
181,10082.6633928329
182,10066.74024084289
183,10060.72903049797
184,10059.378202006621
185,10059.284784742471
186,10042.705926272072
187,10040.768806853886
188,10024.797995263347
189,9994.343950059814
190,9993.99837911328
191,9991.977482310473
192,9977.024176305555
193,9976.438734281686
194,9963.541881427891
195,9961.549670979735
196,9941.990956676875
197,9944.028490176479
198,9920.752142865502
199,9920.752142865502
200,9918.797777125234
201,9938.569554476006
202,9924.130752415418
203,9891.796349675904
204,9841.51424521429
205,9839.809139641075
206,9790.899355434827
207,9789.460004263154
208,9810.254276951238
209,9809.827409599859
210,9839.097470295135
211,9824.468139770159
212,9858.081677836375
213,9910.02658032759
214,9908.745397969495
215,9899.166374363991
216,9873.74432717899
217,9919.396542434937
218,9902.160976375275
219,9891.67952631172
220,9917.050399943406
221,9923.617176003829
222,9925.730971337949
223,9925.730971337949
224,9925.730971337949
225,9925.730971337949
226,9925.730971337949
227,9925.730971337949
228,9925.730971337949
229,9925.730971337949
230,9925.730971337949
231,9925.730971337949
232,9925.730971337949
233,9925.730971337949
234,9925.730971337949
235,9925.730971337949
236,9925.730971337949
237,9925.730971337949
238,9925.730971337949
239,9925.730971337949
240,9925.730971337949
241,9924.900129717398
242,9923.932728983727
243,9919.35982373978
244,9922.21182155428
245,9920.566064792725
246,9910.98602357645
247,9892.847833610966
248,9895.902669541954
249,9881.54616924765
250,9859.327492273276
251,9857.77846987468
252,9884.284977507625
253,9895.080691586014
254,9898.721968267895
255,9946.11701407373
256,9920.526420779286
257,9932.465662525754
258,9909.43002936769
259,9825.605572085546
260,9876.543875611427
