step,price,realized_pnl,cumulative_realized_pnl,forced_exit,exit_reason
49,97950.0078125,0.0,0.0,False,
50,98040.0,0.0,0.0,False,
51,98304.5078125,0.0,0.0,False,
52,98200.0,0.0,0.0,False,
53,98001.0,0.0,0.0,False,
54,98126.2109375,0.0,0.0,False,
101,99466.09375,129.2752533532452,129.2752533532452,True,take_profit
102,99600.0,0.0,129.2752533532452,False,
103,99512.2109375,0.0,129.2752533532452,False,
104,99318.703125,0.0,129.2752533532452,False,
105,99043.4921875,0.0,129.2752533532452,False,
106,98999.9921875,0.0,129.2752533532452,False,
107,98767.9609375,-57.317830200465295,71.95742315277991,True,stop_loss
108,99259.9921875,0.0,71.95742315277991,False,
109,99157.1171875,0.0,71.95742315277991,False,
110,99492.5078125,0.0,71.95742315277991,False,
111,100737.03125,52.92165449436203,124.87907764714194,True,take_profit
112,102147.953125,0.0,124.87907764714194,False,
113,102158.671875,0.0,124.87907764714194,False,
114,101831.953125,0.0,124.87907764714194,False,
115,101738.796875,0.0,124.87907764714194,False,
116,101817.21875,0.0,124.87907764714194,False,
117,102127.3828125,0.0,124.87907764714194,False,
118,101611.921875,0.0,124.87907764714194,False,
119,102011.9765625,0.0,124.87907764714194,False,
123,101677.65625,-2.4872256124936314,122.39185203464831,False,
124,101708.078125,0.0,122.39185203464831,False,
132,100830.859375,-117.33810952035066,5.053742514297653,True,stop_loss
133,100750.890625,0.0,5.053742514297653,False,
134,100636.796875,0.0,5.053742514297653,False,
135,99979.6875,-32.250795996285106,-27.197053481987453,True,stop_loss
136,97952.2578125,0.0,-27.197053481987453,False,
137,97733.578125,0.0,-27.197053481987453,False,
138,97277.3125,0.0,-27.197053481987453,False,
139,96750.859375,-61.06621971194609,-88.26327319393354,True,stop_loss
140,96451.9765625,0.0,-88.26327319393354,False,
141,96533.3515625,0.0,-88.26327319393354,False,
142,96501.21875,0.0,-88.26327319393354,False,
143,97164.0,0.0,-88.26327319393354,False,
144,96954.609375,0.0,-88.26327319393354,False,
151,95284.3125,-156.1047628263473,-244.36803602028084,True,stop_loss
152,95657.09375,0.0,-244.36803602028084,False,
153,95945.9921875,0.0,-244.36803602028084,False,
154,95432.8203125,0.0,-244.36803602028084,False,
155,95961.0234375,0.0,-244.36803602028084,False,
156,95134.921875,0.0,-244.36803602028084,False,
162,94030.8203125,-171.15158360651168,-415.5196196267925,True,stop_loss
163,94242.609375,0.0,-415.5196196267925,False,
164,94243.890625,0.0,-415.5196196267925,False,
165,93980.0,-1.3965635099821156,-416.91618313677463,False,
166,94468.96875,0.0,-416.91618313677463,False,
167,95290.9296875,0.0,-416.91618313677463,False,
168,95060.609375,0.0,-416.91618313677463,False,
169,95135.296875,0.0,-416.91618313677463,False,
182,91986.421875,-290.741843516475,-707.6580266532496,True,stop_loss
183,92863.796875,0.0,-707.6580266532496,False,
184,94244.0234375,0.0,-707.6580266532496,False,
185,94250.953125,0.0,-707.6580266532496,False,
186,92693.109375,0.0,-707.6580266532496,False,
187,93020.109375,0.0,-707.6580266532496,False,
188,91909.59375,0.0,-707.6580266532496,False,
189,91903.21875,0.0,-707.6580266532496,False,
190,92108.84375,-1.0659426488730332,-708.7239693021227,False,
191,92456.3203125,0.0,-708.7239693021227,False,
193,92775.84375,0.0,-708.7239693021227,False,
194,93102.5234375,0.0,-708.7239693021227,False,
195,93364.359375,0.0,-708.7239693021227,False,
204,95073.953125,10.276184063599544,-698.4477852385231,False,
205,95023.4375,0.0,-698.4477852385231,False,
209,93645.046875,1.0484012259441897,-697.3993840125789,False,
210,95793.046875,244.76853044100346,-452.63085357157547,True,take_profit
211,94861.6171875,0.0,-452.63085357157547,False,
212,95327.0625,0.0,-452.63085357157547,False,
213,94672.046875,0.0,-452.63085357157547,False,
214,94613.2578125,0.0,-452.63085357157547,False,
215,94767.703125,0.0,-452.63085357157547,False,
216,94726.109375,0.0,-452.63085357157547,False,
217,94600.6875,0.0,-452.63085357157547,False,
219,94424.2421875,-1.5450987913383187,-454.1759523629138,False,
220,94206.953125,0.0,-454.1759523629138,False,
226,94329.453125,-4.267234381734852,-458.44318674464864,False,
227,94488.859375,0.0,-458.44318674464864,False,
273,93039.1015625,-179.67717853134366,-638.1203652759923,True,stop_loss
274,92846.7890625,0.0,-638.1203652759923,False,
275,91644.9609375,9.098132230762303,-629.02223304523,True,take_profit
276,90851.21875,0.0,-629.02223304523,False,
277,90732.0,0.0,-629.02223304523,False,
278,91131.40625,0.0,-629.02223304523,False,
279,91833.03125,0.0,-629.02223304523,False,
280,92123.75,0.0,-629.02223304523,False,
281,91343.203125,0.0,-629.02223304523,False,
282,91983.9609375,0.0,-629.02223304523,False,
284,92312.1796875,0.0,-629.02223304523,False,
285,93575.53125,206.86391509868497,-422.158317946545,True,take_profit
286,94193.4921875,0.0,-422.158317946545,False,
287,94399.9765625,0.0,-422.158317946545,False,
288,94536.1015625,0.0,-422.158317946545,False,
289,94470.7734375,0.0,-422.158317946545,False,
290,94834.5,0.0,-422.158317946545,False,
291,94882.6484375,0.0,-422.158317946545,False,
314,97349.6171875,272.9179118871167,-149.24040605942835,True,take_profit
315,96824.0625,0.0,-149.24040605942835,False,
316,97317.1171875,0.0,-149.24040605942835,False,
317,97189.7109375,0.0,-149.24040605942835,False,
318,97029.96875,0.0,-149.24040605942835,False,
319,97105.4765625,0.0,-149.24040605942835,False,
327,99434.40625,224.76309601964738,75.52268996021903,True,take_profit
328,98992.421875,0.0,75.52268996021903,False,
329,98995.578125,0.0,75.52268996021903,False,
330,98645.6484375,0.0,75.52268996021903,False,
331,99446.140625,0.0,75.52268996021903,False,
332,99844.8984375,0.0,75.52268996021903,False,
351,97618.890625,-166.64778811298743,-91.1250981527684,True,stop_loss
352,99296.171875,0.0,-91.1250981527684,False,
353,99346.390625,0.0,-91.1250981527684,False,
354,99838.5390625,0.0,-91.1250981527684,False,
355,99584.2421875,0.0,-91.1250981527684,False,
356,100417.203125,0.0,-91.1250981527684,False,
369,102136.0078125,229.28576232162922,138.16066416886082,True,take_profit
370,101861.2578125,0.0,138.16066416886082,False,
371,102321.53125,0.0,138.16066416886082,False,
372,102237.6015625,0.0,138.16066416886082,False,
373,102745.6875,0.0,138.16066416886082,False,
374,102474.140625,0.0,138.16066416886082,False,
377,104972.8125,248.07685994361913,386.23752411247995,True,take_profit
378,104125.4609375,0.0,386.23752411247995,False,
379,104835.6796875,0.0,386.23752411247995,False,
380,105834.9296875,0.0,386.23752411247995,False,
381,104692.703125,0.0,386.23752411247995,False,
382,104604.4921875,0.0,386.23752411247995,False,
383,104410.390625,0.0,386.23752411247995,False,
390,102829.2734375,-205.54337086610798,180.69415324637197,True,stop_loss
391,103440.390625,0.0,180.69415324637197,False,
392,102821.75,0.0,180.69415324637197,False,
393,103272.0,0.0,180.69415324637197,False,
394,103159.2890625,0.0,180.69415324637197,False,
395,103184.640625,0.0,180.69415324637197,False,
428,106200.0,283.281317380566,463.975470626938,True,take_profit
429,106275.4921875,0.0,463.975470626938,False,
430,103684.4375,-20.41733204595505,443.5581385809829,True,stop_loss
431,103414.0,0.0,443.5581385809829,False,
432,101331.5703125,-17.14764631452954,426.4104922664534,True,stop_loss
433,99794.5078125,0.0,426.4104922664534,False,
434,100692.8203125,0.0,426.4104922664534,False,
435,101926.421875,0.0,426.4104922664534,False,
436,101891.9296875,6.950324277413813,433.3608165438672,False,
437,102232.34375,0.0,433.3608165438672,False,
438,102344.203125,2.9975722084155336,436.35838875228274,False,
439,107486.5,191.05361775292363,627.4120065052064,True,take_profit
440,107120.6484375,0.0,627.4120065052064,False,
441,108320.0078125,0.0,627.4120065052064,False,
442,108132.046875,0.0,627.4120065052064,False,
443,107964.5625,0.0,627.4120065052064,False,
444,108239.1875,1.9450500284455075,629.3570565336519,False,
445,106917.59375,0.0,629.3570565336519,False,
446,107956.3125,0.5310079673837436,629.8880645010356,False,
447,107866.6484375,0.0,629.8880645010356,False,
448,104957.9921875,0.0,629.8880645010356,False,
449,106670.3828125,-3.2333529303489286,626.6547115706867,False,
450,102963.3203125,-110.63640932570854,516.0183022449781,True,stop_loss
451,103930.65625,0.0,516.0183022449781,False,
452,103691.6328125,0.0,516.0183022449781,False,
453,103647.15625,0.0,516.0183022449781,False,
454,102596.0,-7.222359307091949,508.7959429378862,False,
455,103608.0,-1.5142882501673398,507.28165468771886,False,
456,102260.0078125,0.0,507.28165468771886,False,
457,101187.75,0.0,507.28165468771886,False,
458,101498.2421875,0.0,507.28165468771886,False,
460,102936.0078125,0.0,507.28165468771886,False,
461,102344.203125,0.0,507.28165468771886,False,
462,101365.9765625,0.0,507.28165468771886,False,
463,102176.0390625,0.0,507.28165468771886,False,
464,101989.046875,0.0,507.28165468771886,False,
465,102466.8125,0.0,507.28165468771886,False,
466,102707.078125,0.0,507.28165468771886,False,
468,103758.25,0.0,507.28165468771886,False,
469,104519.9765625,0.0,507.28165468771886,False,
470,104457.0703125,0.0,507.28165468771886,False,
471,103260.90625,0.0,507.28165468771886,False,
474,106173.2578125,5.539641554318791,512.8212962420376,False,
478,106772.2265625,23.81770116844632,536.638997410484,False,
479,105996.0078125,0.0,536.638997410484,False,
480,106143.8203125,0.0,536.638997410484,False,
481,105948.0,0.0,536.638997410484,False,
482,105799.9921875,0.0,536.638997410484,False,
483,105583.890625,9.952762832856706,546.5917602433407,False,
484,105600.0078125,0.0,546.5917602433407,False,
485,105578.40625,0.0,546.5917602433407,False,
486,105689.1484375,0.0,546.5917602433407,False,
487,105379.8125,0.0,546.5917602433407,False,
520,105263.5234375,1.1070009336626754,547.6987611770033,False,
521,105139.1796875,4.046079978321018,551.7448411553244,False,
522,105927.78125,3.461864675529,555.2067058308534,False,
523,105424.390625,1.6932329623811029,556.8999387932345,False,
524,103770.0390625,0.0,556.8999387932345,False,
525,103284.4765625,-6.818030659243163,550.0819081339913,False,
526,103079.078125,-19.598013353465262,530.483894780526,False,
527,103978.8203125,-16.587394205760347,513.8965005747657,False,
529,103446.6171875,0.0,513.8965005747657,False,
530,103234.296875,0.0,513.8965005747657,False,
531,103016.0078125,0.0,513.8965005747657,False,
533,104631.9921875,0.19782697697326057,514.094327551739,False,
534,105222.1484375,0.0,514.094327551739,False,
535,104991.0078125,0.0,514.094327551739,False,
536,105046.796875,0.0,514.094327551739,False,
538,105146.671875,0.0,514.094327551739,False,
539,105416.75,0.0,514.094327551739,False,
540,105420.1015625,0.0,514.094327551739,False,
541,105526.578125,0.0,514.094327551739,False,
549,104859.109375,-0.8527541940654828,513.2415733576735,False,
550,105124.609375,0.0,513.2415733576735,False,
592,104967.0078125,-0.07988156431304105,513.1616917933604,False,
593,104938.0234375,0.0,513.1616917933604,False,
605,100410.0390625,-451.6124890583838,61.54920273497661,True,stop_loss
606,100374.078125,0.0,61.54920273497661,False,
607,98956.3203125,-21.3764354045487,40.17276733042791,True,stop_loss
608,99048.0234375,0.0,40.17276733042791,False,
609,99043.7734375,0.0,40.17276733042791,False,
610,99424.3828125,0.0,40.17276733042791,False,
611,98392.7421875,0.0,40.17276733042791,False,
612,98761.1328125,0.0,40.17276733042791,False,
613,100619.6796875,0.0,40.17276733042791,False,
615,101920.890625,269.46527915996546,309.6380464903934,True,take_profit
616,101112.03125,0.0,309.6380464903934,False,
617,99744.0,0.0,309.6380464903934,False,
618,99150.0078125,-35.70073071064053,273.93731577975285,True,stop_loss
619,99180.0,0.0,273.93731577975285,False,
620,99700.0234375,0.0,273.93731577975285,False,
621,101386.5,0.0,273.93731577975285,False,
622,101349.671875,0.0,273.93731577975285,False,
623,101637.1796875,0.0,273.93731577975285,False,
624,102082.828125,0.0,273.93731577975285,False,
626,101382.671875,0.0,273.93731577975285,False,
627,102402.0078125,0.0,273.93731577975285,False,
628,102636.3203125,163.52326766754476,437.4605834472976,True,take_profit
629,102901.453125,0.0,437.4605834472976,False,
630,103014.59375,0.0,437.4605834472976,False,
631,102744.3828125,0.0,437.4605834472976,False,
632,102789.71875,0.0,437.4605834472976,False,
633,102851.2265625,0.0,437.4605834472976,False,
634,102955.9921875,0.0,437.4605834472976,False,
645,101264.4765625,-170.40251491125713,267.0580685360405,True,stop_loss
646,100334.0078125,0.0,267.0580685360405,False,
647,101265.6328125,0.0,267.0580685360405,False,
648,101335.5234375,0.0,267.0580685360405,False,
649,101702.59375,0.0,267.0580685360405,False,
651,101795.3984375,0.0,267.0580685360405,False,
653,102001.0625,4.234113087870696,271.2921816239112,False,
654,102262.0,0.0,271.2921816239112,False,
668,103583.9921875,210.62310312008452,481.9152847439957,True,take_profit
669,104193.9296875,0.0,481.9152847439957,False,
670,103741.109375,0.0,481.9152847439957,False,
671,103492.0625,0.0,481.9152847439957,False,
672,103733.2421875,0.0,481.9152847439957,False,
673,104026.0390625,0.0,481.9152847439957,False,
674,104264.1484375,0.0,481.9152847439957,False,
675,104663.1875,0.0,481.9152847439957,False,
715,102627.2890625,-144.9734340775675,336.9418506664282,True,stop_loss
716,102312.3203125,0.0,336.9418506664282,False,
717,101680.0234375,0.0,336.9418506664282,False,
718,102148.7265625,0.0,336.9418506664282,False,
719,102261.296875,0.0,336.9418506664282,False,
720,102429.5625,0.0,336.9418506664282,False,
742,101199.8203125,-4.756167010330614,332.1856836560976,False,
743,100666.90625,-150.55833782471043,181.62734583138715,True,stop_loss
744,100635.6484375,0.0,181.62734583138715,False,
745,101243.859375,0.0,181.62734583138715,False,
746,101248.3828125,0.0,181.62734583138715,False,
747,100452.15625,0.0,181.62734583138715,False,
748,99206.859375,-135.87829959141015,45.749046239977,True,stop_loss
749,99538.6015625,0.0,45.749046239977,False,
750,100259.53125,0.0,45.749046239977,False,
751,100265.1484375,0.0,45.749046239977,False,
752,99643.296875,0.0,45.749046239977,False,
753,99831.0390625,0.0,45.749046239977,False,
754,99690.78125,0.0,45.749046239977,False,
755,99417.0625,0.0,45.749046239977,False,
757,98178.0,-165.4167718737086,-119.6677256337316,True,stop_loss
758,98795.8828125,0.0,-119.6677256337316,False,
759,99205.078125,0.0,-119.6677256337316,False,
760,99346.8671875,0.0,-119.6677256337316,False,
762,97228.8515625,-99.3969123115331,-219.0646379452647,True,stop_loss
763,97087.921875,0.0,-219.0646379452647,False,
764,98273.15625,0.0,-219.0646379452647,False,
765,97798.0,0.0,-219.0646379452647,False,
766,97020.5390625,0.0,-219.0646379452647,False,
767,97994.4609375,0.0,-219.0646379452647,False,
768,97700.59375,0.0,-219.0646379452647,False,
769,96511.328125,0.0,-219.0646379452647,False,
770,93435.8203125,-349.51718931352684,-568.5818272587916,True,stop_loss
771,93566.0078125,0.0,-568.5818272587916,False,
772,94038.7421875,0.0,-568.5818272587916,False,
773,92786.53125,-6.78624625895884,-575.3680735177504,False,
774,94216.0,0.0,-575.3680735177504,False,
775,93911.0390625,-0.8483546160147171,-576.2164281337651,False,
776,95333.0078125,0.0,-576.2164281337651,False,
778,95277.0,0.0,-576.2164281337651,False,
781,94764.0078125,0.0,-576.2164281337651,False,
782,94664.5078125,-0.8932259604372348,-577.1096540942024,False,
783,96589.5,0.0,-577.1096540942024,False,
784,98842.0,104.22825441434651,-472.88139967985586,True,take_profit
785,98543.078125,0.0,-472.88139967985586,False,
786,99206.3828125,0.0,-472.88139967985586,False,
787,99816.046875,0.0,-472.88139967985586,False,
788,101880.0,0.0,-472.88139967985586,False,
789,101083.0,19.621909642211676,-453.2594900376442,False,
790,101802.546875,0.0,-453.2594900376442,False,
791,101695.6171875,0.0,-453.2594900376442,False,
792,101328.5234375,5.8976554035372715,-447.3618346341069,False,
793,101058.0078125,0.0,-447.3618346341069,False,
794,101382.6796875,0.0,-447.3618346341069,False,
795,100839.9921875,0.0,-447.3618346341069,False,
