step,capital
0,9998.730779419328
1,10003.365333781858
2,9991.787895101788
3,9990.458048155575
4,10015.189549821127
5,10040.638557132705
6,10074.749565353059
7,10015.061269941145
8,10047.823295854669
9,10068.22543874848
10,10058.003527523339
11,10093.059823568201
12,10087.968286839896
13,10086.755790651572
14,10113.795402913804
15,10127.661433542442
16,10120.391192725745
17,10160.419542718872
18,10158.387966577422
19,10164.690055356516
20,10173.608124534958
21,10201.580856111626
22,10184.469772338387
23,10143.913050626443
24,10299.952699513864
25,10297.893223714225
26,10293.919682454647
27,10305.61730818584
28,10340.659870705587
29,10401.165216828018
30,10305.654179664665
31,10287.716592097584
32,10311.384398360431
33,10290.479676970159
34,10265.770097853932
35,10282.842817391793
36,10274.695835436883
37,10281.538027313076
38,10332.41548033939
39,10288.833245299813
40,10204.547924633955
41,10243.891931928605
42,10226.387714380495
43,10245.286578425941
44,10324.126225721666
45,10146.797391587548
46,10030.160039286777
47,10028.154508536292
48,10025.36451475208
49,10028.811753770206
50,10052.208767441592
51,10033.065882520194
52,10008.243411431178
53,10018.00624765689
54,10051.748713504196
55,10083.626148673316
56,10072.96006889046
57,10045.193692874444
58,10070.265206425718
59,10047.298473385697
60,10015.224034477775
61,9984.057485441594
62,9994.089807913779
63,10007.848474690656
64,10010.96243473181
65,9996.968664436456
66,9928.153028242014
67,9983.787069932201
68,10020.020889665013
69,9939.750229469586
70,10002.849969450022
71,9994.302609122202
72,10003.526472854965
73,9986.244041089709
74,10017.151325771523
75,10038.299491279304
76,10013.486312819477
77,10001.995976827575
78,10015.966515549957
79,10000.412512813811
80,10013.910985973404
81,10021.973271057572
82,10035.13535104053
83,10029.889661863475
84,10031.380199585352
85,10024.111505033905
86,10017.841768120248
87,10034.256268319274
88,10040.6328704686
89,10019.892651382208
90,10019.076758539435
91,10011.454944078814
92,9992.29447195451
93,10004.411131153734
94,10008.206240914424
95,10019.84247118459
96,10019.671906030942
97,10011.59668834439
98,9984.607846148865
99,9992.479436915917
100,9986.594560947584
101,9971.801372168684
102,9990.325227801624
103,9997.096566094642
104,10015.735654404061
105,10014.48189652369
106,9999.69155309804
107,10015.160940679207
108,10016.60449008779
109,10021.072619209595
110,10029.074378930016
111,10026.522622028227
112,10042.73143388818
113,10068.654014194433
114,10074.034347640065
115,10117.419744381143
116,10095.312031584797
117,10127.935649377787
118,10135.139474686224
119,10107.516761345207
120,10102.181695258092
121,10106.747709339614
122,10117.617534969402
123,10126.816437219888
124,10148.361039057756
125,10234.113124101781
126,10226.889793851173
127,10172.355833154992
128,10210.195070932168
129,10275.625717687515
130,10273.571106068503
131,10273.381376090232
132,10280.216849655335
133,10262.603871864529
134,10308.6792186352
135,10279.824362769146
136,10355.014698892888
137,10341.83524434403
138,10299.210249493693
139,10343.596927586299
140,10373.958322041972
141,10409.313633511052
142,10407.23229098993
143,10414.71184351922
144,10412.747176261164
145,10393.545553460079
146,10354.711275445137
147,10386.307316956216
148,10310.578130973881
149,10315.353687750881
150,10327.359354595275
151,10256.771820241134
152,10254.720978459385
153,10244.77999968484
154,10243.976940495235
155,10249.663153054085
156,10236.111306913883
157,10224.556838422419
158,10257.437586157064
159,10317.394585377866
160,10306.56925994325
161,10334.99290126069
162,10301.114086984351
163,10361.486023128504
164,10412.11387259154
165,10382.774412808529
166,10384.907317973553
167,10402.044490148686
168,10388.408868090657
169,10423.212742189435
170,10391.718197984917
171,10379.418876129932
172,10346.14721899979
173,10337.647018953041
174,10368.299675546928
175,10390.06953991975
176,10329.5719213222
177,10309.333349782326
178,10329.829755178804
179,10352.727065089464
180,10398.708360319511
181,10426.078486954053
182,10404.700456112412
183,10402.366089367677
184,10434.124012242919
185,10404.136733343494
186,10387.364594764627
187,10272.403963604018
188,10264.339955601417
189,10261.901161524078
190,10233.685450736157
191,10240.309655338799
192,10196.369775840787
193,10239.977890627253
194,10324.296030686532
195,10304.145252036898
196,10271.003898038589
197,10280.431006179148
198,10324.921670546462
199,10335.990967802381
200,10359.237601002635
201,10370.45013929
202,10352.875850935032
203,10328.402889678458
204,10332.893264980388
205,10338.48983069936
206,10342.6096275909
207,10340.331633123056
208,10314.31166872686
209,10284.494430793799
210,10262.909393558324
211,10218.288426059178
212,10326.345763639749
213,10288.107801328999
