step,raw_action,target_weight,position_weight,risk_multiplier,forced_exit,exit_reason
1819,0.25390756130218506,0.12695378065109253,0.12695378065109253,1.0,False,
1820,0.9943960309028625,0.6241044581616729,0.32690644271024166,1.0,False,
1821,0.19140519201755524,0.4225745468048774,0.4225745468048774,1.0,False,
1822,0.47938087582588196,0.6622575327357372,0.6225670948227962,1.0,False,
1823,0.09987540543079376,0.6725293299904642,0.6725293299904642,1.0,False,
1824,0.13157308101654053,0.738324326666153,0.738324326666153,1.0,False,
1825,1.0,1.0,0.9383398075905911,1.0,False,
1826,0.49526625871658325,1.0,1.0,1.0,False,
1827,0.9189307689666748,1.0,1.0,1.0,False,
1828,0.6629326343536377,1.0,1.0,1.0,False,
1829,0.4372938573360443,1.0,1.0,1.0,False,
1830,0.7428023815155029,1.0,1.0,1.0,False,
1831,0.41467538475990295,1.0,1.0,1.0,False,
1832,1.0,1.0,1.0,1.0,False,
1833,0.9138365983963013,1.0,1.0,1.0,False,
1834,0.31620049476623535,1.0,1.0,1.0,False,
1835,1.0,1.0,1.0,1.0,False,
1836,0.5171793103218079,1.0,0.0,1.0,True,take_profit
1837,0.5825766921043396,0.2912883460521698,0.2,1.0,False,
1838,0.7813339829444885,0.590607019460849,0.39994002798860484,1.0,False,
1839,0.5304861664772034,0.6651631907302558,0.599920107491654,1.0,False,
1840,0.7515297532081604,0.9757049275213782,0.799940050917298,1.0,False,
1841,0.35150256752967834,0.9757509916799729,0.9757509916799729,1.0,False,
1842,0.810941755771637,1.0,1.0,1.0,False,
1843,0.8637350797653198,1.0,0.0,1.0,True,take_profit
1844,0.529653012752533,0.2648265063762665,0.2,1.0,False,
1845,1.0,0.6999400279886049,0.3999400279886049,1.0,False,
1846,0.3710443377494812,0.5854421960004501,0.5854421960004501,1.0,False,
1847,0.34580203890800476,0.758359021274806,0.758359021274806,1.0,False,
1848,1.0,1.0,0.9584033285200249,1.0,False,
1849,0.350369930267334,1.0,1.0,1.0,False,
1850,1.0,1.0,1.0,1.0,False,
1851,0.40395286679267883,1.0,1.0,1.0,False,
1852,0.31740912795066833,1.0,1.0,1.0,False,
1853,0.5751548409461975,1.0,1.0,1.0,False,
1854,0.5586533546447754,1.0,1.0,1.0,False,
1855,0.7659083008766174,1.0,1.0,1.0,False,
1856,0.4653053283691406,1.0,1.0,1.0,False,
1857,0.6562443375587463,1.0,1.0,1.0,False,
1858,0.5792990326881409,1.0,1.0,1.0,False,
1859,1.0,1.0,1.0,1.0,False,
1860,0.714314877986908,1.0,1.0,1.0,False,
1861,0.6813752055168152,1.0,1.0,1.0,False,
1862,0.7236469984054565,1.0,1.0,1.0,False,
1863,0.5687898993492126,1.0,1.0,1.0,False,
1864,0.9457600712776184,1.0,1.0,1.0,False,
1865,1.0,1.0,0.0,1.0,True,stop_loss
1866,1.0,0.5,0.2,1.0,False,
1867,1.0,0.6999400279886049,0.39994002798860484,1.0,False,
1868,0.7580947875976562,0.778967429529474,0.5999200357306458,1.0,False,
1869,0.6700789332389832,0.9349794777306442,0.7999400111111525,1.0,False,
1870,1.0,1.0,0.9999997178309146,1.0,False,
1871,1.0,1.0,1.0,1.0,False,
1872,1.0,1.0,1.0,1.0,False,
1873,0.6584184765815735,1.0,1.0,1.0,False,
1874,0.837701678276062,1.0,1.0,1.0,False,
1875,0.9664192199707031,1.0,1.0,1.0,False,
1876,0.9954538941383362,1.0,1.0,1.0,False,
1877,1.0,1.0,1.0,1.0,False,
1878,1.0,1.0,1.0,1.0,False,
1879,1.0,1.0,1.0,1.0,False,
1880,1.0,1.0,1.0,1.0,False,
1881,1.0,1.0,1.0,1.0,False,
1882,1.0,1.0,1.0,1.0,False,
1883,1.0,1.0,1.0,1.0,False,
1884,1.0,1.0,1.0,1.0,False,
1885,0.6761764883995056,1.0,1.0,1.0,False,
1886,0.8745537996292114,1.0,1.0,1.0,False,
1887,1.0,1.0,1.0,1.0,False,
1888,1.0,1.0,1.0,1.0,False,
1889,1.0,1.0,1.0,1.0,False,
1890,1.0,1.0,1.0,1.0,False,
1891,1.0,1.0,1.0,1.0,False,
