step,raw_action,target_weight,position_weight,risk_multiplier,forced_exit,exit_reason
49,1.0,0.5,0.2,1.0,False,
50,1.0,0.6999400279886048,0.39994002798860484,1.0,False,
51,0.5048536658287048,0.6523468895871037,0.5999200566727514,1.0,False,
52,0.6287740468978882,0.9143270234119487,0.7999399999630046,1.0,False,
53,0.36256131529808044,0.981280744233233,0.981280744233233,1.0,False,
54,0.5396727919578552,1.0,1.0,1.0,False,
55,0.2766392230987549,1.0,1.0,1.0,False,
56,1.0,1.0,1.0,1.0,False,
57,0.9310747385025024,1.0,1.0,1.0,False,
58,1.0,1.0,1.0,1.0,False,
59,1.0,1.0,1.0,1.0,False,
60,1.0,1.0,1.0,1.0,False,
61,0.7437041997909546,1.0,1.0,1.0,False,
62,1.0,1.0,1.0,1.0,False,
63,1.0,1.0,1.0,1.0,False,
64,1.0,1.0,1.0,1.0,False,
65,1.0,1.0,1.0,1.0,False,
66,1.0,1.0,1.0,1.0,False,
67,1.0,1.0,1.0,1.0,False,
68,0.809851884841919,1.0,1.0,1.0,False,
69,1.0,1.0,1.0,1.0,False,
70,0.7925700545310974,1.0,1.0,1.0,False,
71,0.8235019445419312,1.0,1.0,1.0,False,
72,0.5779308676719666,1.0,1.0,1.0,False,
73,0.5134074687957764,1.0,1.0,1.0,False,
74,0.7246721982955933,1.0,1.0,1.0,False,
75,1.0,1.0,1.0,1.0,False,
76,0.40139707922935486,1.0,1.0,1.0,False,
77,1.0,1.0,1.0,1.0,False,
78,0.5938272476196289,1.0,1.0,1.0,False,
79,0.4565756022930145,1.0,1.0,1.0,False,
80,0.25984472036361694,1.0,1.0,1.0,False,
81,-0.00891990028321743,0.9955400498583913,0.9955400498583913,1.0,False,
82,1.0,1.0,1.0,1.0,False,
83,0.7975055575370789,1.0,1.0,1.0,False,
84,0.11378984898328781,1.0,1.0,1.0,False,
85,0.09689503163099289,1.0,1.0,1.0,False,
86,0.22988171875476837,1.0,1.0,1.0,False,
87,0.18837004899978638,1.0,1.0,1.0,False,
88,0.27601319551467896,1.0,1.0,1.0,False,
89,0.14788617193698883,1.0,1.0,1.0,False,
90,0.40588536858558655,1.0,1.0,1.0,False,
91,1.0,1.0,1.0,1.0,False,
92,0.33294200897216797,1.0,1.0,1.0,False,
93,0.9330637454986572,1.0,1.0,1.0,False,
94,0.3272537887096405,1.0,1.0,1.0,False,
95,0.36180737614631653,1.0,1.0,1.0,False,
96,0.08907832205295563,1.0,1.0,1.0,False,
97,0.7081391215324402,1.0,1.0,1.0,False,
98,0.6102610230445862,1.0,1.0,1.0,False,
99,0.9671491384506226,1.0,1.0,1.0,False,
100,1.0,1.0,1.0,1.0,False,
101,1.0,1.0,0.0,1.0,True,take_profit
102,0.3356260657310486,0.1678130328655243,0.1678130328655243,1.0,False,
103,1.0,0.6677573131104334,0.3677573131104334,1.0,False,
104,0.7370521426200867,0.7362569459332224,0.5677308746231791,1.0,False,
105,0.9791449308395386,1.0,0.7677444758197702,1.0,False,
106,1.0,1.0,0.9677982295072769,1.0,False,
107,0.9519288539886475,1.0,0.0,1.0,True,stop_loss
108,1.0,0.5,0.2,1.0,False,
109,1.0,0.6999400279886048,0.39994002798860484,1.0,False,
110,1.0,0.8999200254118744,0.5999200254118744,1.0,False,
111,0.8250225186347961,1.0,0.0,1.0,True,take_profit
112,1.0,0.5,0.2,1.0,False,
113,0.1682230532169342,0.284051554597072,0.284051554597072,1.0,False,
114,1.0,0.7840334079871072,0.48403340798710726,1.0,False,
115,1.0,0.9840302295068166,0.6840302295068166,1.0,False,
116,1.0,1.0,0.884067100805775,1.0,False,
117,1.0,1.0,1.0,1.0,False,
118,1.0,1.0,1.0,1.0,False,
119,1.0,1.0,1.0,1.0,False,
120,0.7998878359794617,1.0,1.0,1.0,False,
121,1.0,1.0,1.0,1.0,False,
122,0.7659992575645447,1.0,1.0,1.0,False,
123,1.0,1.0,1.0,1.0,False,
124,0.9494493007659912,1.0,1.0,1.0,False,
125,1.0,1.0,1.0,1.0,False,
126,1.0,1.0,1.0,1.0,False,
127,0.9861624836921692,1.0,1.0,1.0,False,
128,1.0,1.0,1.0,1.0,False,
129,1.0,1.0,1.0,1.0,False,
130,1.0,1.0,1.0,1.0,False,
131,0.8605257868766785,1.0,1.0,1.0,False,
132,0.6260659694671631,1.0,0.0,1.0,True,stop_loss
133,1.0,0.5,0.2,1.0,False,
134,0.9723612666130066,0.6861206612951081,0.39994002798860484,1.0,False,
135,0.7009430527687073,0.7503915502604419,0.0,1.0,True,stop_loss
136,1.0,0.5,0.2,1.0,False,
137,0.8527439832687378,0.6263120196229737,0.39994002798860484,1.0,False,
138,0.30949723720550537,0.5546686248784887,0.5546686248784887,1.0,False,
139,0.0448702871799469,0.5771123084012492,0.0,1.0,True,stop_loss
140,-0.04137827083468437,0.0,0.0,1.0,False,
141,0.24245361983776093,0.12122680991888046,0.12122680991888046,1.0,False,
142,0.13173897564411163,0.18705040133234296,0.18705040133234296,1.0,False,
143,-0.16419050097465515,0.10493453795051425,0.10493453795051425,1.0,False,
144,-0.024886908009648323,0.09249980655878949,0.09249980655878949,1.0,False,
145,-0.19359782338142395,0.0,0.0,1.0,False,
146,0.07787135988473892,0.03893567994236946,0.03893567994236946,1.0,False,
147,-0.1038435697555542,0.0,0.0,1.0,False,
148,-0.23000572621822357,0.0,0.0,1.0,False,
149,-0.059058140963315964,0.0,0.0,1.0,False,
150,0.2375568151473999,0.11877840757369995,0.11877840757369995,1.0,False,
151,0.283922016620636,0.26069415577020305,0.0,1.0,True,stop_loss
152,0.30312201380729675,0.15156100690364838,0.15156100690364838,1.0,False,
153,0.45665398240089417,0.37983521247271423,0.3515082212722671,1.0,False,
154,0.35192176699638367,0.5274394904759407,0.5274394904759407,1.0,False,
155,0.15095628798007965,0.6029225180459391,0.6029225180459391,1.0,False,
156,-0.014052128419280052,0.5959040885830419,0.5959040885830419,1.0,False,
157,0.014416152611374855,0.6080665020221602,0.6080665020221602,1.0,False,
158,-0.25908687710762024,0.47069156422102343,0.47069156422102343,1.0,False,
159,-0.3896495997905731,0.27592832051357585,0.27592832051357585,1.0,False,
160,0.2655593454837799,0.4087616787391775,0.4087616787391775,1.0,False,
161,0.8096774816513062,0.8135883622720477,0.6087496214463946,1.0,False,
162,0.6910419464111328,0.954292563605222,0.0,1.0,True,stop_loss
163,1.0,0.5,0.2,1.0,False,
164,1.0,0.6999400279886049,0.3923605531909405,0.9810484716026466,False,
165,1.0,0.8923398666222974,0.5878936996192329,0.9924938920143633,False,
166,1.0,1.0,0.7879109699023852,1.0,False,
167,0.7977207899093628,1.0,0.9879682121930029,1.0,False,
168,1.0,1.0,1.0,1.0,False,
169,1.0,1.0,1.0,1.0,False,
170,1.0,1.0,1.0,1.0,False,
171,0.9570630788803101,1.0,1.0,1.0,False,
172,1.0,1.0,1.0,1.0,False,
173,1.0,1.0,1.0,1.0,False,
174,1.0,1.0,1.0,1.0,False,
175,1.0,1.0,1.0,1.0,False,
176,1.0,1.0,1.0,1.0,False,
177,1.0,1.0,1.0,1.0,False,
178,1.0,1.0,1.0,1.0,False,
179,1.0,1.0,1.0,1.0,False,
180,1.0,1.0,1.0,1.0,False,
181,1.0,1.0,1.0,1.0,False,
182,1.0,1.0,0.0,1.0,True,stop_loss
183,1.0,0.5,0.2,1.0,False,
184,0.4755806624889374,0.43773035923307346,0.39994002798860484,1.0,False,
185,1.0,0.8999202789156052,0.5999202789156053,1.0,False,
186,1.0,1.0,0.7999402852003927,1.0,False,
187,0.8877613544464111,1.0,0.9339977137197192,0.9339977137197192,False,
188,0.7846285700798035,1.0,0.9479837819280014,0.9479837819280014,False,
189,1.0,1.0,0.9094755759323455,0.9094755759323455,False,
190,1.0,1.0,0.8994271446051364,0.8994271446051364,False,
191,1.0,1.0,0.9210926344721934,0.9210926344721934,False,
192,1.0,1.0,0.9182268166722491,0.9182268166722491,False,
193,1.0,1.0,0.9427270753439221,0.9427270753439221,False,
194,0.6092888116836548,1.0,0.9854003803407373,0.9854003803407373,False,
195,0.8227686285972595,1.0,1.0,1.0,False,
196,1.0,1.0,1.0,1.0,False,
197,1.0,1.0,1.0,1.0,False,
198,1.0,1.0,1.0,1.0,False,
199,0.6056900024414062,1.0,1.0,1.0,False,
200,0.6355572938919067,1.0,1.0,1.0,False,
201,1.0,1.0,1.0,1.0,False,
202,1.0,1.0,1.0,1.0,False,
203,0.7784687280654907,1.0,1.0,1.0,False,
204,1.0,1.0,1.0,1.0,False,
205,0.4300234019756317,1.0,1.0,1.0,False,
206,0.9775899648666382,1.0,1.0,1.0,False,
207,1.0,1.0,1.0,1.0,False,
208,1.0,1.0,1.0,1.0,False,
209,1.0,1.0,0.9731629284744607,0.9731629284744607,False,
210,0.9579586982727051,1.0,0.0,0.9779003315737144,True,take_profit
211,0.4158068001270294,0.2079034000635147,0.17920910593143846,0.8960455296571923,False,
212,0.8187993764877319,0.5885513319857361,0.33326922462151476,0.8789866274413609,False,
213,1.0,0.8332436703122519,0.47309062120772316,0.8871940682028071,False,
214,0.3409390151500702,0.6435563424890978,0.5753880850404719,0.8940756963330205,False,
215,0.6553834080696106,0.9030875247066372,0.7292106134339383,0.940436605399966,False,
216,1.0,1.0,0.9167549836088362,0.9865581202090627,False,
217,1.0,1.0,1.0,1.0,False,
218,1.0,1.0,1.0,1.0,False,
219,1.0,1.0,1.0,1.0,False,
220,1.0,1.0,1.0,1.0,False,
221,1.0,1.0,1.0,1.0,False,
222,1.0,1.0,1.0,1.0,False,
223,1.0,1.0,1.0,1.0,False,
224,1.0,1.0,1.0,1.0,False,
225,1.0,1.0,1.0,1.0,False,
226,0.8869510889053345,1.0,1.0,1.0,False,
227,1.0,1.0,1.0,1.0,False,
228,1.0,1.0,1.0,1.0,False,
229,1.0,1.0,1.0,1.0,False,
230,0.7732580900192261,1.0,1.0,1.0,False,
231,0.7081043720245361,1.0,1.0,1.0,False,
232,0.6189560890197754,1.0,1.0,1.0,False,
233,1.0,1.0,1.0,1.0,False,
234,1.0,1.0,1.0,1.0,False,
235,1.0,1.0,1.0,1.0,False,
236,1.0,1.0,1.0,1.0,False,
237,1.0,1.0,1.0,1.0,False,
238,0.3576814532279968,1.0,1.0,1.0,False,
239,0.19730624556541443,1.0,1.0,1.0,False,
240,1.0,1.0,1.0,1.0,False,
241,0.24195143580436707,1.0,1.0,1.0,False,
242,0.605914831161499,1.0,1.0,1.0,False,
243,-0.06168680265545845,0.9691565986722708,0.9691565986722708,1.0,False,
244,0.49660566449165344,1.0,1.0,1.0,False,
245,1.0,1.0,1.0,1.0,False,
246,0.2976453900337219,1.0,1.0,1.0,False,
247,0.30550268292427063,1.0,1.0,1.0,False,
248,0.47774434089660645,1.0,1.0,1.0,False,
249,0.2213253378868103,1.0,1.0,1.0,False,
250,0.23288825154304504,1.0,1.0,1.0,False,
251,-0.059528712183237076,0.9702356439083815,0.9702356439083815,1.0,False,
252,1.0,1.0,1.0,1.0,False,
253,0.3096950352191925,1.0,1.0,1.0,False,
254,-0.15412773191928864,0.9229361340403557,0.9229361340403557,1.0,False,
255,0.21905383467674255,1.0,1.0,1.0,False,
256,0.36537036299705505,1.0,1.0,1.0,False,
257,0.38070714473724365,1.0,1.0,1.0,False,
258,-0.1594831794500351,0.9202584102749825,0.9202584102749825,1.0,False,
259,1.0,1.0,1.0,1.0,False,
260,1.0,1.0,1.0,1.0,False,
261,1.0,1.0,1.0,1.0,False,
262,0.9297316670417786,1.0,1.0,1.0,False,
263,1.0,1.0,1.0,1.0,False,
264,0.5568900108337402,1.0,1.0,1.0,False,
265,0.8384525775909424,1.0,1.0,1.0,False,
266,0.5874892473220825,1.0,1.0,1.0,False,
267,0.07458273321390152,1.0,1.0,1.0,False,
268,0.6954178810119629,1.0,1.0,1.0,False,
269,1.0,1.0,1.0,1.0,False,
270,0.2010100781917572,1.0,1.0,1.0,False,
271,0.6434531211853027,1.0,1.0,1.0,False,
272,1.0,1.0,1.0,1.0,False,
273,0.8263235688209534,1.0,0.0,1.0,True,stop_loss
274,-0.23545962572097778,0.0,0.0,1.0,False,
275,0.0373079814016819,0.01865399070084095,0.01865399070084095,1.0,False,
276,0.6801767349243164,0.3587333835458649,0.21864501608370673,1.0,False,
277,0.20466889441013336,0.32092317551266875,0.32092317551266875,1.0,False,
278,0.41695088148117065,0.5293802658965258,0.5209048251559405,1.0,False,
279,-0.1972406804561615,0.4222886705278749,0.4222886705278749,1.0,False,
280,0.35938742756843567,0.6020248323599184,0.6020248323599184,1.0,False,
281,0.6415734887123108,0.9228298523067447,0.7838744798548833,0.9773470678625601,False,
282,-0.3059759736061096,0.6309387090795564,0.6069836238654462,0.9620326271484325,False,
283,-0.20680558681488037,0.5036889415091323,0.48430209640070015,0.96151028241687,False,
284,0.24306949973106384,0.6058964235654501,0.5895570789896786,0.9730327759988725,False,
285,-0.25113898515701294,0.4639969622063135,0.45305128471481754,0.9764100233772026,False,
286,-0.419291228055954,0.24346900040329233,0.0,0.9248266764713826,True,take_profit
287,0.060150790959596634,0.030075395479798317,0.02788336907667944,0.9271156249768597,False,
288,0.28982028365135193,0.1727803531063813,0.16567319584537715,0.9588659408710188,False,
289,0.3717838227748871,0.35151907144280964,0.3512185392597816,0.9991450472891996,False,
290,-0.20468521118164062,0.24884833188099792,0.24884833188099792,1.0,False,
291,-0.09859371930360794,0.19957715425926914,0.19957715425926914,1.0,False,
292,-0.012785835191607475,0.19319409215202937,0.19319409215202937,1.0,False,
293,0.2249622792005539,0.3120323695447853,0.3120323695447853,1.0,False,
294,0.4062269926071167,0.5151248214867634,0.5120113251832051,1.0,False,
295,0.9865809082984924,1.0,0.7120137578882131,1.0,False,
296,0.7803022861480713,1.0,0.9120561188461949,1.0,False,
297,0.08485787361860275,0.9545676373113712,0.9545676373113712,1.0,False,
298,-0.001957779284566641,0.9536077973744438,0.9536077973744438,1.0,False,
299,0.32683923840522766,1.0,1.0,1.0,False,
300,0.802821159362793,1.0,1.0,1.0,False,
301,0.17582739889621735,1.0,1.0,1.0,False,
302,0.031816329807043076,1.0,1.0,1.0,False,
303,1.0,1.0,1.0,1.0,False,
304,1.0,1.0,1.0,1.0,False,
305,1.0,1.0,1.0,1.0,False,
306,1.0,1.0,1.0,1.0,False,
307,1.0,1.0,1.0,1.0,False,
308,1.0,1.0,1.0,1.0,False,
309,1.0,1.0,1.0,1.0,False,
310,1.0,1.0,1.0,1.0,False,
311,1.0,1.0,1.0,1.0,False,
312,1.0,1.0,1.0,1.0,False,
313,1.0,1.0,1.0,1.0,False,
314,1.0,1.0,1.0,1.0,False,
315,1.0,1.0,1.0,1.0,False,
316,1.0,1.0,1.0,1.0,False,
317,0.8427373766899109,1.0,1.0,1.0,False,
318,0.48665085434913635,1.0,1.0,1.0,False,
319,1.0,1.0,1.0,1.0,False,
