step,capital
0,10000.0
1,10000.0
2,9998.000499750126
3,10028.75030355365
4,10028.75030355365
5,10028.75030355365
6,10028.75030355365
7,10028.75030355365
8,10028.75030355365
9,10028.75030355365
10,10028.75030355365
11,10028.75030355365
12,10028.75030355365
13,10026.745054679861
14,10029.678508273779
15,10026.898169069442
16,10027.07462479059
17,10032.096560257161
18,10032.096560257161
19,10032.096560257161
20,10032.096560257161
21,10032.096560257161
22,10032.096560257161
23,10032.096560257161
24,10032.096560257161
25,10032.096560257161
26,10032.096560257161
27,10032.096560257161
28,10032.096560257161
29,10032.096560257161
30,10032.096560257161
31,10032.096560257161
32,10032.096560257161
33,10032.096560257161
34,10032.096560257161
35,10032.096560257161
36,10032.096560257161
37,10032.096560257161
38,10032.096560257161
39,10032.096560257161
40,10032.096560257161
41,10032.096560257161
42,10032.096560257161
43,10032.096560257161
44,10032.096560257161
45,10032.096560257161
46,10032.096560257161
47,10032.096560257161
48,10032.096560257161
49,10032.096560257161
50,10032.096560257161
51,10032.096560257161
52,10032.096560257161
53,10032.096560257161
54,10032.096560257161
55,10032.096560257161
56,10032.096560257161
57,10032.096560257161
58,10032.096560257161
59,10032.096560257161
60,10032.096560257161
61,10032.096560257161
62,10032.096560257161
63,10032.096560257161
64,10032.096560257161
65,10032.096560257161
66,10032.096560257161
67,10032.096560257161
68,10032.096560257161
69,10032.096560257161
70,10032.096560257161
71,10032.096560257161
72,10032.096560257161
73,10032.096560257161
74,10030.090642299261
75,10028.093159087435
76,10028.093159087435
77,10028.093159087435
78,10028.093159087435
79,10028.093159087435
80,10028.093159087435
81,10028.093159087435
82,10028.093159087435
83,10028.093159087435
84,10028.093159087435
85,10028.093159087435
86,10028.093159087435
87,10028.093159087435
88,10028.093159087435
89,10026.334388071315
90,10024.129560792131
91,10024.129560792131
92,10024.129560792131
93,10024.129560792131
94,10024.129560792131
95,10024.129560792131
96,10024.129560792131
97,10024.129560792131
98,10022.688495447523
99,10020.488461094541
100,10020.488461094541
101,10020.488461094541
102,10020.488461094541
103,10020.488461094541
104,10020.488461094541
105,10020.488461094541
106,10020.488461094541
107,10020.488461094541
108,10020.488461094541
109,10020.488461094541
110,10020.488461094541
111,10020.488461094541
112,10020.488461094541
113,10020.488461094541
114,10020.488461094541
115,10020.488461094541
116,10020.488461094541
117,10020.488461094541
118,10020.488461094541
119,10020.488461094541
120,10020.488461094541
121,10019.997508917293
122,10021.758346047109
123,10021.758346047109
124,10021.758346047109
125,10021.758346047109
126,10021.758346047109
127,10021.758346047109
128,10021.758346047109
129,10021.758346047109
130,10021.758346047109
131,10021.758346047109
132,10021.758346047109
133,10021.758346047109
134,10021.758346047109
135,10021.758346047109
136,10021.758346047109
137,10021.758346047109
138,10021.758346047109
139,10021.758346047109
140,10021.758346047109
141,10021.758346047109
142,10021.758346047109
143,10021.758346047109
144,10021.758346047109
145,10021.758346047109
146,10021.758346047109
147,10021.758346047109
148,10021.758346047109
149,10021.758346047109
150,10021.758346047109
151,10021.758346047109
152,10021.758346047109
153,10021.758346047109
154,10021.758346047109
155,10021.758346047109
156,10021.758346047109
157,10021.758346047109
158,10021.758346047109
159,10021.758346047109
160,10021.758346047109
161,10021.758346047109
162,10021.758346047109
163,10021.758346047109
164,10021.758346047109
165,10021.758346047109
166,10021.758346047109
167,10021.758346047109
168,10021.758346047109
169,10021.758346047109
170,10021.758346047109
171,10021.758346047109
172,10021.758346047109
173,10021.758346047109
174,10021.758346047109
175,10021.758346047109
176,10021.758346047109
177,10021.758346047109
178,10021.758346047109
179,10021.758346047109
180,10021.758346047109
181,10021.095683142166
182,10018.868852761305
183,10018.868852761305
184,10018.868852761305
185,10018.868852761305
186,10018.868852761305
187,10018.868852761305
188,10018.868852761305
189,10018.868852761305
190,10018.868852761305
191,10018.868852761305
192,10018.868852761305
193,10018.868852761305
194,10018.868852761305
195,10018.868852761305
196,10018.868852761305
197,10018.868852761305
198,10018.868852761305
199,10018.868852761305
200,10018.868852761305
201,10018.868852761305
202,10018.868852761305
203,10018.868852761305
204,10018.868852761305
205,10018.868852761305
206,10018.868852761305
207,10018.868852761305
208,10018.868852761305
209,10018.868852761305
210,10018.868852761305
211,10018.868852761305
212,10016.865579683848
213,10009.53643941937
214,10009.53643941937
215,10009.53643941937
216,10009.53643941937
