step,price,realized_pnl,forced_exit,exit_reason
1842,84230.96875,0.0,False,
1843,85612.25,30.765686396849095,False,
1853,85684.78125,30.765686396849095,False,
1854,85827.28125,30.765686396849095,False,
1855,85759.28125,30.765686396849095,False,
1856,85816.390625,30.967670222594244,False,
1857,86241.046875,37.39396949593075,False,
1914,84238.828125,37.39396949593075,False,
1915,84239.140625,35.39598864783297,False,
1929,84347.1171875,35.39598864783297,False,
1930,84325.65625,33.190498206287714,False,
1938,85017.65625,33.190498206287714,False,
1939,84972.78125,30.98972364231699,False,
1961,88057.5390625,30.98972364231699,False,
1962,88461.8828125,32.751564399877715,False,
2021,87521.609375,32.751564399877715,False,
2022,87314.71875,30.523785754013765,False,
2052,85255.2578125,30.523785754013765,False,
2053,85028.2734375,23.191480029768066,False,
2092,83088.8125,23.191480029768066,False,
2093,83109.8125,21.696032748018908,False,
2096,83076.59375,21.696032748018908,False,
2097,83378.09375,26.95131180450099,False,
2099,83120.8671875,26.95131180450099,False,
2100,83111.7578125,26.95131180450099,False,
2101,83072.7578125,23.902939242789266,False,
2102,82678.421875,11.365832739676236,False,
2114,81953.03125,11.365832739676236,False,
2115,81922.296875,9.275180208254389,False,
2116,81530.0,9.275180208254389,False,
2117,81846.0078125,14.514560037953258,False,
2123,82174.15625,14.514560037953258,False,
2124,82205.5078125,14.514560037953258,False,
2125,82768.7421875,26.603708055147763,False,
2126,82507.9921875,31.395923289579155,False,
2150,83618.2265625,31.395923289579155,False,
2151,84195.921875,31.395923289579155,False,
2152,85280.8671875,76.59696766851305,True,take_profit
2153,85119.9921875,76.59696766851305,False,
2154,85117.8515625,74.538512075721,False,
2155,85126.6796875,74.538512075721,False,
2156,84972.0078125,74.538512075721,False,
2157,85231.28125,76.97699444981755,False,
2158,85223.84375,76.97699444981755,False,
2159,85099.9921875,74.3098279701373,False,
2160,85158.34375,74.20946059667698,False,
2167,84125.9921875,74.20946059667698,False,
2168,84426.328125,79.36214048426062,False,
2205,82363.9921875,79.36214048426062,False,
2206,82717.5390625,81.54968309947533,False,
2218,84571.3828125,81.54968309947533,False,
2219,82567.03125,48.700868279671575,True,stop_loss
2233,83787.6015625,48.700868279671575,False,
2234,83979.8671875,49.65326457857451,False,
2238,83688.671875,49.65326457857451,False,
2239,83477.296875,42.60286262165752,False,
2240,83525.34375,42.60286262165752,False,
2241,83519.9609375,40.475518634821896,False,
2251,83036.1328125,40.475518634821896,False,
2252,82860.0,34.24224023692628,False,
2265,83034.2578125,34.24224023692628,False,
2266,83075.1484375,33.6113371033462,False,
2268,82855.9921875,33.6113371033462,False,
2269,82697.9921875,27.81170960506464,False,
2285,76989.921875,27.81170960506464,False,
2286,76942.8203125,24.892602898367294,False,
2295,79033.109375,24.892602898367294,False,
2296,78479.8984375,16.250303160360318,False,
2306,80599.9921875,16.250303160360318,False,
2307,79947.046875,16.250303160360318,False,
2308,79904.0,7.784553588187265,False,
2315,79003.5390625,7.784553588187265,False,
2316,79982.0,14.888187120418554,False,
2318,79899.8984375,14.888187120418554,False,
2319,78479.90625,-17.89722021989105,True,stop_loss
2321,77414.25,-17.89722021989105,False,
2322,77349.9921875,-17.89722021989105,False,
2323,77259.90625,-17.89722021989105,False,
2324,76854.046875,-17.89722021989105,False,
2325,77133.40625,-17.89722021989105,False,
2326,77100.0,-24.46583410029858,False,
2327,76731.2109375,-39.96162772879906,False,
2328,76322.421875,-44.751595122635756,False,
2362,82036.7109375,-44.751595122635756,False,
2363,81766.046875,-49.70734708088193,False,
2364,81882.0078125,-49.70734708088193,False,
2365,81710.4609375,-55.82164558804453,False,
2368,78757.0,-55.82164558804453,False,
2369,79453.8203125,-48.9286718059326,False,
2370,79328.0078125,-45.32468847157042,False,
2481,85850.0,-45.32468847157042,False,
2482,85989.0,-44.1027134697677,False,
2513,85048.546875,-44.1027134697677,False,
2514,83281.2109375,-87.12479475955891,True,stop_loss
2519,84460.4296875,-87.12479475955891,False,
2520,84030.3828125,-97.40962955057608,False,
2524,83994.2265625,-97.40962955057608,False,
2525,84153.046875,-97.01023447926386,False,
2532,84562.0,-97.01023447926386,False,
2533,84775.9921875,-97.01023447926386,False,
2534,84475.140625,-103.44810704611555,False,
2535,84087.078125,-103.44810704611555,False,
2536,84531.7109375,-104.53907558129055,False,
2537,84934.0,-101.03526817799319,False,
2556,84669.109375,-101.03526817799319,False,
2557,84645.6015625,-101.89948113214876,False,
2562,84571.921875,-101.89948113214876,False,
2563,84616.9609375,-102.01908923454205,False,
2564,84562.828125,-102.01908923454205,False,
2565,84520.1171875,-102.85174886763484,False,
2569,84436.671875,-102.85174886763484,False,
2570,84544.0625,-102.37690215404106,False,
2571,84785.796875,-101.71410665010136,False,
2598,85088.5390625,-101.71410665010136,False,
2599,84955.421875,-106.74464691517517,False,
2622,87550.0,-106.74464691517517,False,
2623,87521.7265625,-106.94258608721574,False,
2624,87434.78125,-106.94258608721574,False,
2625,87569.28125,-105.88863102976907,False,
2739,95000.0,-105.88863102976907,False,
2740,94739.9921875,-109.38697667582852,False,
2784,93749.296875,-109.38697667582852,False,
2785,93419.8984375,-118.22887627419303,False,
2795,95060.7734375,-118.22887627419303,False,
2796,95319.9921875,-114.85110963591183,False,
2808,95011.1796875,-114.85110963591183,False,
2809,95065.2734375,-115.36555306615834,False,
2853,94555.9921875,-115.36555306615834,False,
2854,94419.0,-120.1576207368347,False,
2863,94888.8515625,-120.1576207368347,False,
2864,95025.84375,-119.29107011397599,False,
2916,95942.0234375,-119.29107011397599,False,
2917,96120.421875,-118.840578429923,False,
2930,96099.9375,-118.840578429923,False,
2931,95892.28125,-120.78268457249305,False,
2933,95725.5234375,-120.78268457249305,False,
2934,96042.71875,-116.26193813071602,False,
2936,95879.9921875,-116.26193813071602,False,
2937,95647.2734375,-122.9628260338787,False,
2991,94147.0234375,-122.9628260338787,False,
2992,94558.953125,-117.66995478840605,False,
2993,94241.0078125,-117.66995478840605,False,
2994,94535.9296875,-116.79859364570703,False,
3001,97415.6484375,-116.79859364570703,False,
3002,97242.8515625,-119.40001538949669,False,
3004,96506.8984375,-119.40001538949669,False,
3005,96576.0,-119.7184842705283,False,
3156,103729.203125,-119.7184842705283,False,
3157,103682.5234375,-122.55139998055417,False,
3160,103682.546875,-122.55139998055417,False,
3161,103725.8515625,-123.68914159246715,False,
3164,104792.21875,-123.68914159246715,False,
3165,104562.390625,-125.71596981953238,False,
3181,103999.9921875,-125.71596981953238,False,
3182,103970.8671875,-128.2142369812867,False,
3191,103511.4609375,-128.2142369812867,False,
3192,103507.8203125,-128.7797236884528,False,
3193,103801.8515625,-126.24558414321848,False,
3194,103033.5234375,-126.24558414321848,False,
3195,103047.6171875,-127.92986576417785,False,
3199,102247.3984375,-127.92986576417785,False,
3200,101779.9921875,-137.29712461874539,False,
3202,101823.390625,-137.29712461874539,False,
3203,101804.7421875,-139.05768450434908,False,
3215,103492.0625,-139.05768450434908,False,
3216,103763.7109375,-135.89599186299816,False,
3221,103919.953125,-135.89599186299816,False,
3222,103898.5234375,-137.4837362276125,False,
3223,103987.8671875,-137.4837362276125,False,
3224,103710.171875,-144.6278962327903,False,
3236,104032.6015625,-144.6278962327903,False,
3237,103692.4765625,-152.929934558492,False,
3251,102873.7421875,-152.929934558492,False,
3252,102994.171875,-152.929934558492,False,
3253,102927.5703125,-154.05472334864953,False,
3254,102713.34375,-154.42383832411986,False,
3258,103130.4296875,-154.42383832411986,False,
3259,102987.203125,-159.06277073195437,False,
3345,106372.453125,-159.06277073195437,False,
3346,106200.03125,-160.67488237828263,False,
3347,106328.5703125,-160.67488237828263,False,
3348,106546.4375,-158.6410114785966,False,
3422,108590.2890625,-158.6410114785966,False,
3423,108959.09375,-157.8671898129989,False,
3443,106946.3984375,-157.8671898129989,False,
3444,107260.0,-154.11964253797194,False,
3445,107530.5703125,-154.11964253797194,False,
3446,107521.75,-154.11964253797194,False,
3447,107355.0,-159.1470013431663,False,
3448,106967.96875,-160.68810513347768,False,
3492,109585.4921875,-160.68810513347768,False,
3493,109603.0234375,-161.21754143421745,False,
3505,109205.390625,-161.21754143421745,False,
3506,108667.9921875,-172.69504187720977,False,
3520,107107.3125,-172.69504187720977,False,
3521,107420.0,-168.98084837745833,False,
3523,107476.546875,-168.98084837745833,False,
3524,106946.0078125,-171.63845602027692,False,
3543,107622.5390625,-171.63845602027692,False,
3544,107019.890625,-171.63845602027692,False,
3545,106724.421875,-177.28765433005728,False,
3561,105177.328125,-177.28765433005728,False,
3562,105623.0390625,-171.0270012795869,False,
3589,104033.9609375,-171.0270012795869,False,
3590,104117.296875,-171.41291223769554,False,
3597,104781.828125,-171.41291223769554,False,
3598,104863.15625,-171.5874903266114,False,
3616,104715.1015625,-171.5874903266114,False,
3617,105038.796875,-171.5874903266114,False,
3618,105066.328125,-169.16013709971276,False,
3623,105512.1796875,-169.16013709971276,False,
3624,105642.9296875,-168.72615968266828,False,
3631,105162.3828125,-168.72615968266828,False,
3632,105387.671875,-166.51778440279742,False,
3653,105166.921875,-166.51778440279742,False,
3654,105452.078125,-166.51778440279742,False,
3655,105429.671875,-166.51778440279742,False,
3656,105170.75,-171.82190339636918,False,
3657,105094.9296875,-171.82190339636918,False,
3658,105198.109375,-174.60148098180645,False,
3659,105280.9921875,-175.85518022019326,False,
3660,105287.2421875,-175.85518022019326,False,
3661,105307.9375,-176.34105800503664,False,
3675,105476.21875,-176.34105800503664,False,
3676,105519.2734375,-176.65941710318413,False,
3677,105407.046875,-176.65941710318413,False,
3678,105354.140625,-179.56013934176372,False,
3703,104452.9296875,-179.56013934176372,False,
3704,104518.046875,-180.0624101980451,False,
3705,104675.359375,-180.0624101980451,False,
3706,104900.0,-177.85219037104716,False,
3708,104827.796875,-177.85219037104716,False,
3709,105649.59375,-175.70925122093828,False,
3714,103240.0390625,-175.70925122093828,False,
3715,103006.046875,-182.01383094826508,False,
3730,103643.9765625,-182.01383094826508,False,
3731,103676.25,-182.01383094826508,False,
3733,103753.2734375,-182.2095139104528,False,
3734,104098.84375,-175.9818009555855,False,
3750,104877.359375,-175.9818009555855,False,
3751,105316.3671875,-169.77546940204059,False,
3756,105150.0078125,-169.77546940204059,False,
3757,105465.2109375,-165.9004361674057,True,take_profit
3758,105610.5234375,-165.9004361674057,False,
3759,105431.609375,-165.9004361674057,False,
3760,105558.109375,-167.15336416456236,False,
3761,105350.6796875,-168.4074164826591,False,
3762,105393.2109375,-171.61153985392593,False,
3765,105846.9765625,-171.61153985392593,False,
3766,105764.640625,-171.61153985392593,False,
3767,105820.5078125,-171.61153985392593,False,
3768,105552.1484375,-178.2212424120549,False,
3769,105473.2109375,-184.57620865068807,False,
3770,105690.328125,-188.6871333724854,False,
3772,105471.59375,-188.6871333724854,False,
3773,105614.3828125,-188.7755584620661,False,
3890,103773.6484375,-188.7755584620661,False,
3891,103641.2109375,-189.43889624748067,False,
3909,105424.0,-189.43889624748067,False,
3910,105612.59375,-187.92268759659268,False,
3913,105826.3203125,-187.92268759659268,False,
3914,105470.3515625,-190.66132559646917,False,
3921,105095.03125,-190.66132559646917,False,
3923,105011.921875,-194.10488104736777,False,
3924,105082.0078125,-194.10488104736777,False,
3925,105053.6328125,-196.5459494231675,False,
3927,104913.0078125,-196.5459494231675,False,
3928,104841.296875,-196.98523175318752,False,
3929,104457.8515625,-200.79871484714658,False,
3930,104608.171875,-200.79871484714658,False,
3931,104892.8125,-200.79871484714658,False,
3932,104645.671875,-204.62562442626805,False,
3933,104894.2890625,-204.62562442626805,False,
3934,105315.5390625,-197.2458735050466,False,
3935,105428.7421875,-190.9023690134298,False,
3936,105414.640625,-190.9023690134298,False,
3937,105643.9921875,-190.9023690134298,False,
3938,105421.03125,-194.78324130614192,False,
3939,105481.0234375,-194.78324130614192,False,
3940,105473.546875,-197.5636846577272,False,
3941,105559.6796875,-197.5636846577272,False,
3942,106073.9375,-190.0007639367957,False,
3943,105440.6875,-190.5431315663919,False,
3965,106386.0,-190.5431315663919,False,
3966,106559.9765625,-189.32475620338195,False,
3969,107180.0,-189.32475620338195,False,
3970,106945.859375,-189.6822910250868,False,
3974,107160.0625,-189.6822910250868,False,
3975,107533.5,-184.91488054205212,False,
4017,104949.8984375,-184.91488054205212,False,
4018,104697.03125,-191.46033693573065,False,
4027,103623.390625,-191.46033693573065,False,
4028,103808.40625,-189.9548988890279,False,
4037,105073.5234375,-189.9548988890279,False,
4038,104892.859375,-189.9548988890279,False,
4039,104707.9375,-194.14799752350007,False,
4040,104642.8515625,-194.14799752350007,False,
