step,price,capital,cash,drawdown,realized_pnl,unrealized_pnl,reward,weights,forced_exit,exit_reason
49,97950.0078125,9999.523871371393,9523.5142451711,4.7612862860660246e-05,0.0,-0.23800481310014268,-0.007147249748534614,[np.float64(0.04760322914605039)],False,
50,98040.0,9998.180730452561,7741.701010247429,0.0001819269547439035,0.0,-0.6906843451641995,-0.022356164686758856,[np.float64(0.2256890309386309)],False,
51,98304.5078125,10002.272977180008,5744.563134965897,0.0,0.0,4.399632284972955,0.030907072781937064,[np.float64(0.4256742294404475)],False,
52,98200.0,9996.586359325953,4583.458937118144,0.0005685325592521658,0.0,-0.706723601142634,-0.06263985933706609,[np.float64(0.5414975900406069)],False,
53,98001.0,9985.462964877344,4429.525052076266,0.0016806192293506784,0.0,-11.753189571468857,-0.11172822680495365,[np.float64(0.5564026357459254)],False,
54,98126.2109375,9990.566641860076,2433.163963469405,0.001170367510128915,0.0,-5.651830885284125,0.04094957335276164,[np.float64(0.7564538578548143)],False,
55,98127.5390625,9988.671320687166,434.05603492657133,0.001359856556991923,0.0,-6.548097621140008,-0.02910481791873924,[np.float64(0.956545167921622)],False,
56,98271.8828125,10002.29224795953,0.0,0.0,0.0,7.289749208907676,0.1333520217814289,[np.float64(1.0)],False,
57,97906.0703125,9965.05918161096,0.0,0.0037224533562459686,0.0,-29.943317139662195,-0.3563263670526539,[np.float64(1.0)],False,
58,97690.3671875,9943.10452242157,0.0,0.005917416135289862,0.0,-51.897976329052554,-0.21741134520991007,[np.float64(1.0)],False,
59,97789.3203125,9953.176152747279,0.0,0.004910483916551379,0.0,-41.826346003343815,0.10045655264343006,[np.float64(1.0)],False,
60,97889.390625,9963.361492463211,0.0,0.003892183364694392,0.0,-31.64100628741114,0.10158762195295978,[np.float64(1.0)],False,
61,97888.1171875,9963.231879661767,0.0,0.00390514167447285,0.0,-31.770619088855206,-0.0016914077305897938,[np.float64(1.0)],False,
62,97973.046875,9971.87617883047,0.0,0.0030409098609637812,0.0,-23.126319920153193,0.08624085729754086,[np.float64(1.0)],False,
63,98035.0390625,9978.185857232056,0.0,0.002410086621133513,0.0,-16.81664151856636,0.06294941891613744,[np.float64(1.0)],False,
64,97657.9375,9939.803769422831,0.0,0.006247415791060001,0.0,-55.198729327790666,-0.36737228047348414,[np.float64(1.0)],False,
65,97704.6015625,9944.553323183723,0.0,0.0057725692615696305,0.0,-50.44917556689865,0.04716958387650708,[np.float64(1.0)],False,
