total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown,final_capital,peak_capital,minimum_capital,number_of_trades,number_of_closing_trades,win_rate,average_win,average_loss,profit_factor,expectancy,checkpoint
-0.19951129610190121,-0.2715428261518452,-0.27154282615184533,0.2321078572452248,-1.24894069138556,-0.01989114448010362,-0.9182864308971352,0.2957060204914026,0.19156987981132365,3855,8004.443150204965,10660.79560716682,7508.334162899293,2727,1109,0.4661857529305681,17.776257270549547,16.584190707741673,0.9360841251589286,-0.5658393959503663,25000
0.03084905056221432,0.04420605895375873,0.04420605895375873,0.12735770070246408,0.40327214929108707,0.00606920620441423,0.5504144683453807,0.08031412961699216,0.02537127872755589,3205,10307.607681435818,10625.74993389683,9316.843021631452,1264,533,0.46716697936210133,20.21589858614949,14.02420323476106,1.2638509537353444,1.9716417059645082,50000
-0.2817324514193469,-0.6782294477817824,-0.6782294477817824,0.21498491870873873,-5.16639894766479,-0.08166168100357651,-2.2592958998401476,0.30019505095803045,0.13884656497780265,1342,7181.996338423939,10262.854454310542,7181.996338423939,1293,572,0.47027972027972026,13.315997994804892,18.19854061019636,0.6496011879504596,-3.377892210291926,75000
-0.28943145568186956,-0.5896521748657373,-0.5896521748657373,0.19708354169415468,-4.42063460544411,-0.06249890454251767,-1.9493393566559032,0.30248821112260676,0.10926550066706266,1615,7104.513315254256,10185.510020824993,7104.513315254256,1431,620,0.5193548387096775,11.299509845225499,18.726270823485017,0.652000475634204,-3.1322363471547154,100000
-0.29151339489703954,-0.634118082774999,-0.634118082774999,0.21637829884161897,-4.537957825861266,-0.06802815419266564,-2.1121336015149055,0.30022631254016535,0.16052964895072552,2010,7083.990412958908,10123.259190658711,7083.990412958908,1446,585,0.5128205128205128,15.116233617525525,22.34307751049597,0.7121590502954834,-3.133174367920846,125000
-0.1551508727269567,-0.2134010179716811,-0.2134010179716811,0.11703533804221009,-1.9924195986299726,-0.028006165958890737,-1.219050683257604,0.17505508253473182,0.09481157178280128,4185,8446.881222559587,10089.642777589146,8323.399528412318,1570,717,0.5341701534170153,11.961411293514605,14.52334053208746,0.9444265999070948,-0.3759765861940272,150000
-0.2981299592346178,-0.804196396902509,-0.804196396902509,0.1969331768472446,-8.180445825800978,-0.11729720940830027,-2.6699873630881994,0.3011985779484543,0.15424374939883642,1254,7017.514384955427,10042.215375511634,7017.514384955427,985,436,0.44724770642201833,11.792454834703774,18.458540696085056,0.5169212989346871,-4.928852327957022,175000
-0.2841869597492356,-0.37873910914536735,-0.37873910914536735,0.1224342228223377,-3.8264545796183524,-0.05397475570164405,-1.3230196239655316,0.28626870099640683,0.1588248946316342,4245,7156.958267938385,10007.290674390231,7142.516572539083,1817,822,0.49391727493917276,10.469970627091776,13.786285297924561,0.7411923096065558,-1.8057014712133297,200000
-0.3019297918715055,-0.62126160106216,-0.62126160106216,0.17529819512685552,-5.450369249994517,-0.07916796415143573,-2.0540792040564284,0.3024526025263693,0.18247236913886264,2236,6979.8017481495,10006.204271464372,6979.8017481495,1475,644,0.4829192546583851,12.935335183596294,17.9228418407847,0.6740420175599335,-3.0208339920541247,225000
-0.299553860228599,-0.6227293723817493,-0.6227293723817493,0.15673065958904914,-6.14047578266491,-0.08484630282021727,-2.0753674280782186,0.3000574086095174,0.19576180438506602,2206,7003.725550887738,10006.142842335641,7003.725550887738,1257,560,0.42142857142857143,12.13490571204674,15.264184101033416,0.5790683168316949,-3.7174248226639204,250000
-0.3011185390958553,-0.6228741785595753,-0.6228741785595753,0.14386016123042766,-6.705927866309166,-0.09070749089330596,-2.064736448040146,0.3016724866511701,0.19439282408002878,2201,6988.179472482275,10007.022978330693,6988.179472482275,1352,612,0.4395424836601307,10.509629967382208,14.30971420452575,0.5759895777676728,-3.4005580243897358,275000
-0.26302513226764535,-0.3524272604291475,-0.3524272604291476,0.08485470386169124,-5.078105790515564,-0.06457617766076171,-1.2879433020555309,0.2736356948839913,0.2212071400472171,4212,7369.141112499603,10105.616688599084,7340.359243783015,1230,559,0.4472271914132379,9.78751917874577,13.440775461741687,0.5891553548910212,-3.052450488357314,300000
