step,price_BTC,price_ETH,capital,cash,drawdown,realized_pnl,unrealized_pnl,reward,weights,forced_exit,exit_reason
74,98123.53125,3636.780029296875,10036.302926418895,-1.1368683772161603e-13,0.006245676606071288,-0.833440918711501,43.84506840728701,-0.2678232633427565,"[np.float64(0.33124374569201026), np.float64(0.6687562543079898)]",False,
75,98227.4765625,3641.409912109375,10048.369289153958,-1.1368683772161603e-13,0.005050913930659884,-0.833440918711501,55.91143114234918,0.1204007310266058,"[np.float64(0.33119645439156026), np.float64(0.6688035456084399)]",False,
76,98187.9609375,3637.7900390625,10040.34984698423,-1.1368683772161603e-13,0.005844966819039306,-0.833440918711501,47.891988972622,-0.07941001979417148,"[np.float64(0.3313276456769631), np.float64(0.6686723543230368)]",False,
77,98357.4609375,3644.300048828125,10058.10708593484,-1.1368683772161603e-13,0.0040867164844209485,-0.833440918711501,65.64922792323254,0.17586827729681964,"[np.float64(0.3313136530161024), np.float64(0.6686863469838977)]",False,
78,98358.9765625,3632.64990234375,10036.657569006311,-1.1368683772161603e-13,0.006210561324369682,-0.833440918711501,44.19971099470258,-0.20994379252530038,"[np.float64(0.33202682547530965), np.float64(0.6679731745246905)]",False,
79,98451.46875,3639.080078125,10047.645556892503,-4.547473508864641e-13,0.00512257498643641,3.806471048609124,52.554264085754575,0.1093972380325947,"[np.float64(0.1320795547588545), np.float64(0.8679204452411454)]",False,
80,98268.7734375,3631.56005859375,10027.162196320975,-4.547473508864641e-13,0.00715075491233431,3.806471048609124,32.07090351422529,-0.20132572384738856,"[np.float64(0.13210376594106732), np.float64(0.8678962340589327)]",False,
81,97861.0390625,3620.010009765625,9993.987981061753,-4.547473508864641e-13,0.010435532193445661,3.806471048609124,-1.103311744995986,-0.3207288128067499,"[np.float64(0.1319923323120932), np.float64(0.8680076676879068)]",False,
82,97652.203125,3609.4599609375,9965.891204532429,-4.547473508864641e-13,0.013217561926321803,3.806471048609124,-29.200088274319707,-0.27640043971665007,"[np.float64(0.13208199109100036), np.float64(0.8679180089089997)]",False,
83,97737.4765625,3615.6201171875,9981.802628977566,-4.547473508864641e-13,0.011642076715319584,3.806471048609124,-13.288663829182692,0.15657355913022242,"[np.float64(0.13198660161264003), np.float64(0.86801339838736)]",False,
84,97641.6328125,3613.469970703125,9975.358159918598,-4.547473508864641e-13,0.012280182104951642,3.806471048609124,-19.733132888150983,-0.06641160673687413,"[np.float64(0.1319423571943452), np.float64(0.8680576428056549)]",False,
85,97770.0078125,3614.080078125,9978.550645227691,-4.547473508864641e-13,0.011964075058209185,3.806471048609124,-16.540647579056603,0.03001354027988917,"[np.float64(0.13207356085721603), np.float64(0.867926439142784)]",False,
86,97689.9609375,3614.64990234375,9978.837149335024,-4.547473508864641e-13,0.011935706574573381,3.806471048609124,-16.254143471725925,0.0009494202959206826,"[np.float64(0.1319616398796767), np.float64(0.8680383601203232)]",False,
87,97855.0625,3623.110107421875,10001.336378709773,-4.547473508864641e-13,0.009707923432901456,3.806471048609124,6.245085903024709,0.22060075656456993,"[np.float64(0.13188729695422466), np.float64(0.8681127030457755)]",False,
88,98028.9765625,3629.60009765625,10019.233047214519,-4.547473508864641e-13,0.007935867344984575,3.806471048609124,24.141754407770367,0.1763717067476227,"[np.float64(0.1318856952879051), np.float64(0.868114304712095)]",False,
89,98035.171875,3628.010009765625,10015.506129828836,-4.547473508864641e-13,0.00830489170506087,3.806471048609124,20.414837022088133,-0.038013459282604356,"[np.float64(0.131943110015814), np.float64(0.8680568899841861)]",False,
90,97731.078125,3627.81005859375,10010.927905528415,-4.547473508864641e-13,0.008758209049641492,3.806471048609124,15.836612721667912,-0.04652594271069248,"[np.float64(0.1315939911746427), np.float64(0.8684060088253573)]",False,
91,97918.90625,3630.75,10020.504924523246,-4.547473508864641e-13,0.0078099311727067135,3.806471048609124,25.413631716497218,0.0946729785553639,"[np.float64(0.13172088836398915), np.float64(0.8682791116360109)]",False,
92,98079.6328125,3637.780029296875,10039.51796016773,-4.547473508864641e-13,0.005927336903574697,3.806471048609124,44.42666736098244,0.1873281429770724,"[np.float64(0.1316872332928758), np.float64(0.8683127667071243)]",False,
93,98275.7109375,3635.77001953125,10037.344305994344,-4.547473508864641e-13,0.006142563391675189,3.806471048609124,42.2530131875952,-0.021797610890329396,"[np.float64(0.13197907358026034), np.float64(0.8680209264197397)]",False,
94,98496.5234375,3645.659912109375,10064.020548015753,-4.547473508864641e-13,0.0035011892686506777,3.806471048609124,68.92925520900452,0.260249785190395,"[np.float64(0.13192499611229844), np.float64(0.8680750038877016)]",False,
95,98695.2109375,3645.320068359375,10065.88439134367,-4.547473508864641e-13,0.0033166390035952735,3.806471048609124,70.79309853692173,0.019078509939600734,"[np.float64(0.13216663854648986), np.float64(0.8678333614535102)]",False,
96,98363.609375,3635.989990234375,10039.056273340406,-4.547473508864641e-13,0.005973051275098872,3.806471048609124,43.96498053365802,-0.26062011530054524,"[np.float64(0.13207458991091675), np.float64(0.8679254100890833)]",False,
97,98217.2265625,3621.739990234375,10002.934915063404,-4.547473508864641e-13,0.009549642796678168,3.806471048609124,7.843622256655172,-0.34626345375973977,"[np.float64(0.13235426069492545), np.float64(0.8676457393050746)]",False,
98,98759.4296875,3648.840087890625,10075.185280508837,-4.547473508864641e-13,0.0023957023910741943,3.806471048609124,80.09398770208784,0.6190855724012263,"[np.float64(0.1321305476169179), np.float64(0.8678694523830822)]",False,
99,98815.390625,3658.4599609375,10098.992321010914,-4.547473508864641e-13,3.842505502678715e-05,3.806471048609124,103.90102820416598,0.23339224712956366,"[np.float64(0.1318937611181355), np.float64(0.8681062388818647)]",False,
100,99037.5703125,3664.919921875,10117.467630783085,-4.547473508864641e-13,0.0,3.806471048609124,122.37633797633771,0.18243415180111575,"[np.float64(0.1319489251232778), np.float64(0.8680510748767223)]",False,
101,99466.09375,3672.679931640625,10139.160953877625,0.0,0.0,20.542168020484382,128.67338929850865,0.2130556084053746,"[np.float64(0.0), np.float64(1.0)]",True,take_profit
102,99600.0,3680.610107421875,10148.863548839063,8117.668327510003,0.0,166.02777812627505,-1.0155338808947847,0.09644209553313407,"[np.float64(0.20014016461591017), np.float64(0.0)]",True,take_profit
