step,forced_exit,exit_reason,raw_action_BTC,target_weight_BTC,position_weight_BTC,risk_multiplier_BTC,raw_action_ETH,target_weight_ETH,position_weight_ETH,risk_multiplier_ETH
49,False,,0.2094595730304718,0.1047297865152359,0.1047297865152359,1.0,0.9177194237709045,0.45885971188545227,0.2,1.0
50,False,,0.8183132410049438,0.5138659733173205,0.3047093528148486,1.0,0.7094585299491882,0.5546902404210697,0.3999609754464756,1.0
51,False,,0.8083420991897583,0.7089024327303426,0.5047313831354634,1.0,0.36804285645484924,0.5840423419045582,0.5840423419045582,1.0
52,False,,0.8171294927597046,0.9133452642556535,0.7047805178758013,1.0,0.20625463128089905,0.5983467977646482,0.5983467977646482,1.0
53,False,,0.7952719330787659,0.9020414811148899,0.704405514575507,1.0,0.2680858075618744,0.6296373892054302,0.6296373892054302,1.0
54,False,,0.33840566873550415,0.6735532720263283,0.6735532720263283,1.0,0.9157743453979492,0.9535367350403983,0.6956495623414236,1.0
55,False,,0.33861634135246277,0.6736175078813482,0.6736175078813482,1.0,0.935470461845398,0.9634258937175821,0.6956906627948831,1.0
56,False,,0.6680358052253723,0.8380555234830892,0.7040376208704031,1.0,0.46235719323158264,0.7271409757453882,0.6959623791295969,1.0
57,False,,0.6079716086387634,0.808847428932452,0.7048616246130703,1.0,0.7846193313598633,0.8874480410668614,0.6951383753869298,1.0
58,False,,0.4431748390197754,0.7261456369893172,0.7045582174794296,1.0,1.0,0.9954417825205706,0.6954417825205705,1.0
59,False,,0.3957067131996155,0.7015438362490729,0.7015438362490729,1.0,0.9507083892822266,0.9716637149918481,0.6963095203507348,1.0
60,False,,0.7345529794692993,0.8713217535189608,0.7040452637843111,1.0,0.2533714473247528,0.6226404598780653,0.6226404598780653,1.0
61,False,,0.0585164874792099,0.5325912535777367,0.5325912535777367,1.0,1.0,0.9966669901618682,0.6966669901618683,1.0
62,False,,0.03309500217437744,0.5175622731259659,0.5175622731259659,1.0,1.0,0.9989852279612228,0.6989852279612228,1.0
