step,capital
49,9996.953629971815
50,9990.509901175565
51,9995.920598924946
52,9992.717532771783
53,9973.556554753457
54,9987.113133589275
55,9992.632228363658
56,9990.997857408669
57,9959.792379069477
58,9954.969853193796
59,9958.039364522505
60,9982.335473251249
61,10028.394124747996
62,10044.425428579669
63,10037.958593577385
64,9978.438844731634
65,10000.489393410437
66,10031.127889762975
67,10017.86698307812
68,10033.699027711471
69,10099.380390258146
70,10083.7625104465
71,10089.273986085913
72,10076.683444040296
73,10063.94997561595
74,10036.302926418895
75,10048.369289153958
76,10040.34984698423
77,10058.10708593484
78,10036.657569006311
79,10047.645556892503
80,10027.162196320975
81,9993.987981061753
82,9965.891204532429
83,9981.802628977566
84,9975.358159918598
85,9978.550645227691
86,9978.837149335024
87,10001.336378709773
88,10019.233047214519
89,10015.506129828836
90,10010.927905528415
91,10020.504924523246
92,10039.51796016773
93,10037.344305994344
94,10064.020548015753
95,10065.88439134367
96,10039.056273340406
97,10002.934915063404
98,10075.185280508837
99,10098.992321010914
100,10117.467630783085
101,10139.160953877625
102,10148.863548839063
103,10144.2030699867
104,10129.671753182778
105,10105.61764453931
106,10106.791245403512
107,10076.463698766605
108,10098.804159307629
109,10070.828842508694
110,10096.763726598067
111,10194.724100969499
112,10272.332917698806
113,10260.88551672878
114,10162.364978106973
115,10184.546325981464
116,10198.798526955976
117,10189.055877806597
118,10143.707759853609
119,10175.371371762887
120,10200.00525297683
121,10166.371701606156
122,10217.895778956834
123,10172.336285663174
124,10183.896606567689
125,10159.752341927562
126,10148.30208073378
127,10157.208139534698
128,10143.849726546268
129,10162.82185999496
130,10125.375225041193
131,10115.750739662248
132,10065.028067699863
133,10048.848615009369
134,10055.984265457291
135,9858.151749576651
136,9814.246589906701
137,9807.751106922973
138,9804.899615726992
139,9799.270423781152
140,9758.798887987838
141,9754.769343209236
142,9745.830709513104
143,9720.794211223178
144,9709.822555785317
145,9725.134898848799
146,9713.329295016667
147,9701.47446383184
148,9677.967059934452
149,9669.54694895316
150,9663.949661996256
151,9649.54189395826
152,9645.404746177875
153,9640.81446316812
154,9643.762595831671
155,9632.34749886637
156,9651.865705554643
157,9641.433032110568
158,9660.877772096446
159,9672.635316727454
160,9640.514926057353
161,9631.493118773475
162,9595.012361742109
163,9592.93372857552
164,9592.68696574515
165,9595.136958454057
166,9601.868579648539
167,9610.864450951341
168,9606.624272002813
169,9611.326145127905
170,9609.737330210108
171,9606.748497806515
172,9585.1632525382
173,9586.787450191054
174,9574.483377215487
175,9567.604756095438
176,9546.67374376695
177,9589.438948561465
178,9597.0118425575
179,9578.475072164116
180,9551.251147159242
181,9537.154518944315
182,9343.93923921793
183,9422.818431444695
184,9555.76529563692
185,9510.48029182521
186,9424.310082040414
187,9443.043299428242
188,9326.628909813177
189,9323.628102880766
190,9322.56813287262
191,9329.050933270497
192,9322.2700486227
193,9319.466937320341
194,9326.995984963547
195,9329.553248861423
196,9338.80895367807
197,9336.953244287422
198,9350.160351014025
199,9374.704852391953
200,9406.066288459804
201,9404.50209890913
202,9413.038388845254
203,9458.304859476324
204,9436.348948102626
205,9433.516355511245
206,9244.370117686241
207,9277.819480554297
208,9256.061982227402
209,9259.93576275491
210,9419.148008398875
211,9336.630742959565
212,9356.58518019905
213,9290.040920930527
214,9298.724368866078
215,9314.225371492175
216,9298.602173132369
217,9295.763596150333
218,9245.598388698943
219,9249.21675134558
220,9219.955041274807
221,9223.728508383267
222,9239.309593269161
223,9216.69855080277
224,9210.034543606398
225,9178.481147403989
226,9233.614074546922
227,9268.072240917974
228,9318.505947962809
229,9315.060270376453
230,9300.849978974615
231,9331.918783313084
232,9311.44356036753
233,9321.86610933788
234,9312.753418433045
235,9331.491897510416
236,9331.719245486755
237,9391.778740704125
238,9413.307968335093
239,9360.823262726952
240,9344.192793020411
241,9345.730694316015
242,9361.99128902741
243,9364.013086933206
244,9353.219967713962
245,9346.0720639074
246,9335.563998725767
247,9308.595801006411
248,9298.742664857537
249,9222.166026294919
250,9218.435294670951
251,9235.380019072616
252,9259.300919604524
253,9252.438069835574
254,9299.369088486532
255,9305.093112612534
256,9352.308490047353
257,9340.888947199111
258,9360.53890394309
259,9350.799094155509
260,9336.475476392376
261,9340.888947199111
262,9297.062236543125
263,9223.988981628136
264,9299.967006711768
265,9417.465585761727
266,9283.392852559
267,9267.673165265316
268,9229.968859134238
269,9219.403783145082
270,9181.870509436572
271,9083.708327689215
272,9113.039692905752
273,9021.057621744576
274,8982.44183794689
275,8865.376454768722
276,8881.755030010727
277,8874.585216958658
278,8869.473540471603
279,8860.587916601276
280,8853.191634582385
281,8878.825466119803
282,8859.744088118929
283,8857.173357523674
284,8848.031438686268
285,8850.090114402406
286,8837.186982170962
287,8841.795598438612
288,8841.773391573723
289,8839.93842829413
290,8833.016144892192
291,8850.594187436738
292,8850.467346116333
293,8863.066077602662
294,8859.824642377936
295,8865.509366203278
296,8857.94914087742
297,8845.498437578652
298,8939.770767948055
299,8932.264206581927
300,8894.801143618039
301,8815.025583788654
302,8875.936973923683
303,8834.054339046323
304,8846.81660070897
305,8844.813053352551
306,8887.311693625921
307,8918.55862836759
308,8890.699780220528
309,8910.763373790689
310,8892.61686878201
311,8941.471787899975
312,8913.516641351303
313,8899.095029155518
314,8913.599867333569
315,8865.976376651208
316,8942.494306684914
317,8902.770859475655
318,8913.572216507004
319,8913.489264027305
320,8921.804069898903
321,8919.95281333977
322,8828.490623162605
323,8856.059171659575
324,8828.711829775135
325,8837.08126288946
326,9092.195471325826
327,9097.317726530657
328,9095.407555064598
329,9095.574491843068
330,9067.646911422959
331,9176.103805175255
332,9306.57153030079
333,9301.635942396606
334,9293.837311575186
335,9289.456469315197
336,9339.797503763933
337,9238.032880045921
338,9250.72360434695
339,9205.960763288464
340,9153.903077935336
341,9151.67876201477
342,9146.520240950013
343,9143.594918084564
344,9146.752047537559
345,9019.216279454591
346,9016.816057435994
347,9011.187745134399
348,9024.924984052363
349,9030.558212108857
350,8974.211571734884
351,8828.09525231473
352,8824.183373808051
353,8824.415319557133
354,8807.732392037411
355,8783.742998979598
356,8824.01712634385
357,8807.95881736248
358,8774.683399772963
359,8723.177540689154
360,8743.830658331795
361,8752.0862350038
362,8868.155067245218
363,8832.513078245085
364,8803.853939380537
365,8818.591487825553
366,8810.581302354818
367,8809.414846171054
368,8823.701563495562
369,8910.746126945674
370,8902.351534600453
371,8963.415362292075
372,8952.353245850538
