step,price_BTC,price_ETH,realized_pnl,cumulative_realized_pnl,forced_exit,exit_reason
49,97950.0078125,3602.409912109375,0.0,0.0,False,
50,98040.0,3596.27001953125,0.0,0.0,False,
51,98304.5078125,3596.39990234375,0.0,0.0,False,
66,98016.2578125,3633.31005859375,-0.8495446298091126,-0.8495446298091126,False,
67,97961.5625,3626.72998046875,-1.1994606040167586,-2.0490052338258713,False,
70,98362.4296875,3658.110107421875,1.2155643151143702,-0.833440918711501,False,
79,98451.46875,3639.080078125,4.639911967320625,3.806471048609124,False,
101,99466.09375,3672.679931640625,16.735696971875257,20.542168020484382,True,take_profit
102,99600.0,3680.610107421875,145.48561010579067,166.02777812627505,True,take_profit
103,99512.2109375,3666.219970703125,0.0,166.02777812627505,False,
104,99318.703125,3650.75,0.0,166.02777812627505,False,
105,99043.4921875,3640.89990234375,0.0,166.02777812627505,False,
107,98767.9609375,3637.8701171875,-47.9033807245505,118.12439740172455,True,stop_loss
108,99259.9921875,3654.52001953125,0.0,118.12439740172455,False,
109,99157.1171875,3642.52001953125,0.0,118.12439740172455,False,
111,100737.03125,3685.469970703125,32.23971355350959,150.36411095523414,True,take_profit
112,102147.953125,3714.449951171875,0.0,150.36411095523414,False,
122,101915.65625,3694.550048828125,-0.4794189776308144,149.88469197760332,False,
123,101677.65625,3678.070068359375,-0.7930708554314947,149.09162112217183,False,
135,99979.6875,3568.75,-254.87508591916418,-105.78346479699235,True,stop_loss
136,97952.2578125,3462.639892578125,-41.96246929709281,-147.74593409408516,True,stop_loss
137,97733.578125,3458.06005859375,0.0,-147.74593409408516,False,
138,97277.3125,3442.550048828125,0.0,-147.74593409408516,False,
139,96750.859375,3421.820068359375,25.798626984322738,-121.94730710976242,True,take_profit
140,96451.9765625,3385.669921875,-73.61295788666342,-195.56026499642584,True,stop_loss
141,96533.3515625,3396.6201171875,0.0,-195.56026499642584,False,
142,96501.21875,3363.320068359375,-3.0282292081629407,-198.58849420458878,False,
143,97164.0,3396.699951171875,-31.664557761968553,-230.25305196655734,True,stop_loss
144,96954.609375,3381.31005859375,0.0,-230.25305196655734,False,
145,97268.4921875,3411.7099609375,0.0,-230.25305196655734,False,
146,96907.1484375,3391.320068359375,0.0,-230.25305196655734,False,
147,96878.140625,3382.89990234375,0.0,-230.25305196655734,False,
148,96525.203125,3360.31005859375,-1.6290375704676308,-231.88208953702497,False,
149,96274.8125,3348.1201171875,-4.624638712492583,-236.50672824951755,False,
150,96492.0078125,3351.409912109375,-3.584863602813982,-240.09159185233153,False,
151,95284.3125,3308.77001953125,-52.67296852079937,-292.7645603731309,True,take_profit
152,95657.09375,3354.590087890625,0.0,-292.7645603731309,False,
153,95945.9921875,3366.139892578125,0.0,-292.7645603731309,False,
154,95432.8203125,3347.47998046875,0.0,-292.7645603731309,False,
155,95961.0234375,3362.449951171875,0.0,-292.7645603731309,False,
156,95134.921875,3349.7900390625,0.0,-292.7645603731309,False,
157,94888.0078125,3339.6201171875,24.44138424161298,-268.3231761315179,True,take_profit
158,95384.0,3358.25,-0.8586726176544062,-269.18184874917233,False,
159,95288.0078125,3369.530029296875,0.0,-269.18184874917233,False,
160,95493.7734375,3346.72998046875,-3.4831967389574174,-272.66504548812975,False,
161,94787.8671875,3314.030029296875,5.583022315168364,-267.0820231729614,False,
162,94030.8203125,3263.06005859375,-66.30665451988318,-333.38867769284457,True,take_profit
163,94242.609375,3282.830078125,0.0,-333.38867769284457,False,
164,94243.890625,3280.679931640625,0.0,-333.38867769284457,False,
165,93980.0,3285.679931640625,3.504587645941001,-329.88409004690357,False,
166,94468.96875,3299.35009765625,0.6173161014366997,-329.26677394546687,False,
167,95290.9296875,3333.139892578125,14.435845691855548,-314.8309282536113,True,stop_loss
168,95060.609375,3327.2900390625,0.0,-314.8309282536113,False,
169,95135.296875,3342.199951171875,-1.7454132447089137,-316.57634149832023,False,
170,94983.8203125,3345.9599609375,0.0,-316.57634149832023,False,
171,94776.9921875,3341.179931640625,2.9722454867961687,-313.60409601152406,False,
