step,price,realized_pnl,cumulative_realized_pnl,forced_exit,exit_reason
49,97950.0078125,0.0,0.0,False,
50,98040.0,0.0,0.0,False,
51,98304.5078125,0.0,0.0,False,
52,98200.0,0.0,0.0,False,
53,98001.0,0.0,0.0,False,
54,98126.2109375,0.0,0.0,False,
101,99466.09375,129.26331578311414,129.26331578311414,True,take_profit
102,99600.0,0.0,129.26331578311414,False,
103,99512.2109375,0.0,129.26331578311414,False,
104,99318.703125,0.0,129.26331578311414,False,
105,99043.4921875,0.0,129.26331578311414,False,
106,98999.9921875,0.0,129.26331578311414,False,
107,98767.9609375,-62.694173965913706,66.56914181720043,True,stop_loss
108,99259.9921875,0.0,66.56914181720043,False,
109,99157.1171875,0.0,66.56914181720043,False,
110,99492.5078125,0.0,66.56914181720043,False,
111,100737.03125,67.45336627473199,134.02250809193242,True,take_profit
112,102147.953125,0.0,134.02250809193242,False,
113,102158.671875,0.0,134.02250809193242,False,
114,101831.953125,0.0,134.02250809193242,False,
115,101738.796875,0.0,134.02250809193242,False,
116,101817.21875,0.0,134.02250809193242,False,
132,100830.859375,-119.79409880525073,14.228409286681696,True,stop_loss
133,100750.890625,0.0,14.228409286681696,False,
134,100636.796875,0.0,14.228409286681696,False,
135,99979.6875,-32.27766485860771,-18.04925557192601,True,stop_loss
136,97952.2578125,0.0,-18.04925557192601,False,
137,97733.578125,0.0,-18.04925557192601,False,
138,97277.3125,0.0,-18.04925557192601,False,
139,96750.859375,-61.11709535080357,-79.16635092272958,True,stop_loss
140,96451.9765625,0.0,-79.16635092272958,False,
141,96533.3515625,0.0,-79.16635092272958,False,
142,96501.21875,0.0,-79.16635092272958,False,
143,97164.0,0.0,-79.16635092272958,False,
144,96954.609375,0.0,-79.16635092272958,False,
145,97268.4921875,0.0,-79.16635092272958,False,
151,95284.3125,-157.64062537926407,-236.80697630199364,True,stop_loss
152,95657.09375,0.0,-236.80697630199364,False,
153,95945.9921875,0.0,-236.80697630199364,False,
154,95432.8203125,0.0,-236.80697630199364,False,
155,95961.0234375,0.0,-236.80697630199364,False,
156,95134.921875,0.0,-236.80697630199364,False,
162,94030.8203125,-171.26938596006465,-408.0763622620583,True,stop_loss
163,94242.609375,0.0,-408.0763622620583,False,
164,94243.890625,0.0,-408.0763622620583,False,
165,93980.0,0.0,-408.0763622620583,False,
166,94468.96875,0.0,-408.0763622620583,False,
167,95290.9296875,0.0,-408.0763622620583,False,
168,95060.609375,0.0,-408.0763622620583,False,
182,91986.421875,-266.55370663737506,-674.6300688994334,True,stop_loss
183,92863.796875,0.0,-674.6300688994334,False,
184,94244.0234375,0.0,-674.6300688994334,False,
185,94250.953125,0.0,-674.6300688994334,False,
186,92693.109375,0.0,-674.6300688994334,False,
187,93020.109375,0.0,-674.6300688994334,False,
188,91909.59375,0.0,-674.6300688994334,False,
189,91903.21875,-6.103130395575931,-680.7331992950093,False,
190,92108.84375,-1.4177973274233864,-682.1509966224327,False,
191,92456.3203125,0.0,-682.1509966224327,False,
193,92775.84375,0.0,-682.1509966224327,False,
194,93102.5234375,0.0,-682.1509966224327,False,
195,93364.359375,0.0,-682.1509966224327,False,
209,93645.046875,0.5000981475810704,-681.6508984748516,False,
210,95793.046875,224.78474927935844,-456.86614919549316,True,take_profit
211,94861.6171875,0.0,-456.86614919549316,False,
212,95327.0625,0.0,-456.86614919549316,False,
213,94672.046875,0.0,-456.86614919549316,False,
214,94613.2578125,0.0,-456.86614919549316,False,
215,94767.703125,0.0,-456.86614919549316,False,
216,94726.109375,0.0,-456.86614919549316,False,
217,94600.6875,0.0,-456.86614919549316,False,
273,93039.1015625,-185.76486689556867,-642.6310160910618,True,stop_loss
274,92846.7890625,0.0,-642.6310160910618,False,
275,91644.9609375,-13.226833627749784,-655.8578497188116,True,stop_loss
276,90851.21875,0.0,-655.8578497188116,False,
277,90732.0,0.0,-655.8578497188116,False,
278,91131.40625,0.0,-655.8578497188116,False,
279,91833.03125,0.0,-655.8578497188116,False,
280,92123.75,0.0,-655.8578497188116,False,
281,91343.203125,-0.6379194301994175,-656.495769149011,False,
282,91983.9609375,0.0,-656.495769149011,False,
283,92077.6484375,0.0,-656.495769149011,False,
284,92312.1796875,0.0,-656.495769149011,False,
285,93575.53125,177.20282313430744,-479.2929460147036,True,take_profit
286,94193.4921875,0.0,-479.2929460147036,False,
287,94399.9765625,0.0,-479.2929460147036,False,
288,94536.1015625,0.5536927700480874,-478.7392532446555,False,
289,94470.7734375,0.0,-478.7392532446555,False,
290,94834.5,0.0,-478.7392532446555,False,
291,94882.6484375,0.0,-478.7392532446555,False,
292,94861.3984375,0.0,-478.7392532446555,False,
293,95119.1875,0.0,-478.7392532446555,False,
314,97349.6171875,260.27876538229384,-218.46048786236167,True,take_profit
315,96824.0625,0.0,-218.46048786236167,False,
316,97317.1171875,0.0,-218.46048786236167,False,
317,97189.7109375,0.0,-218.46048786236167,False,
318,97029.96875,0.0,-218.46048786236167,False,
319,97105.4765625,0.0,-218.46048786236167,False,
327,99434.40625,223.16203606426288,4.701548201901204,True,take_profit
328,98992.421875,0.0,4.701548201901204,False,
329,98995.578125,0.0,4.701548201901204,False,
330,98645.6484375,0.0,4.701548201901204,False,
331,99446.140625,0.0,4.701548201901204,False,
332,99844.8984375,0.0,4.701548201901204,False,
333,99566.3984375,0.0,4.701548201901204,False,
351,97618.890625,-164.82277984544305,-160.12123164354185,True,stop_loss
352,99296.171875,0.0,-160.12123164354185,False,
353,99346.390625,0.0,-160.12123164354185,False,
354,99838.5390625,0.0,-160.12123164354185,False,
355,99584.2421875,0.0,-160.12123164354185,False,
356,100417.203125,0.0,-160.12123164354185,False,
369,102136.0078125,227.66743991602212,67.54620827248027,True,take_profit
370,101861.2578125,0.0,67.54620827248027,False,
371,102321.53125,0.0,67.54620827248027,False,
372,102237.6015625,0.0,67.54620827248027,False,
373,102745.6875,0.0,67.54620827248027,False,
374,102474.140625,0.0,67.54620827248027,False,
375,103378.953125,0.0,67.54620827248027,False,
377,104972.8125,225.1353430542158,292.6815513266961,True,take_profit
378,104125.4609375,0.0,292.6815513266961,False,
379,104835.6796875,0.0,292.6815513266961,False,
380,105834.9296875,0.0,292.6815513266961,False,
381,104692.703125,0.0,292.6815513266961,False,
382,104604.4921875,0.0,292.6815513266961,False,
390,102829.2734375,-201.86648532041409,90.815066006282,True,stop_loss
391,103440.390625,0.0,90.815066006282,False,
392,102821.75,0.0,90.815066006282,False,
393,103272.0,0.0,90.815066006282,False,
394,103159.2890625,0.0,90.815066006282,False,
395,103184.640625,0.0,90.815066006282,False,
428,106200.0,280.7464901057234,371.5615561120054,True,take_profit
429,106275.4921875,0.0,371.5615561120054,False,
430,103684.4375,-51.72034805645586,319.84120805554954,True,stop_loss
431,103414.0,0.0,319.84120805554954,False,
432,101331.5703125,-42.845751330058135,276.9954567254914,True,stop_loss
433,99794.5078125,0.0,276.9954567254914,False,
434,100692.8203125,0.0,276.9954567254914,False,
435,101926.421875,0.0,276.9954567254914,False,
436,101891.9296875,0.0,276.9954567254914,False,
437,102232.34375,0.0,276.9954567254914,False,
438,102344.203125,0.0,276.9954567254914,False,
439,107486.5,313.3597036397965,590.3551603652879,True,take_profit
440,107120.6484375,0.0,590.3551603652879,False,
441,108320.0078125,0.0,590.3551603652879,False,
442,108132.046875,0.0,590.3551603652879,False,
443,107964.5625,0.0,590.3551603652879,False,
444,108239.1875,0.0,590.3551603652879,False,
445,106917.59375,0.0,590.3551603652879,False,
448,104957.9921875,0.0,590.3551603652879,False,
449,106670.3828125,-2.465285753205876,587.889874612082,False,
450,102963.3203125,-142.72374091597834,445.1661336961037,True,stop_loss
451,103930.65625,0.0,445.1661336961037,False,
452,103691.6328125,0.0,445.1661336961037,False,
453,103647.15625,0.0,445.1661336961037,False,
454,102596.0,0.0,445.1661336961037,False,
455,103608.0,0.0,445.1661336961037,False,
456,102260.0078125,0.0,445.1661336961037,False,
457,101187.75,-5.846880296146878,439.31925339995684,False,
458,101498.2421875,0.0,439.31925339995684,False,
459,102545.5625,-4.912456667004619,434.4067967329522,False,
460,102936.0078125,-0.9445844999504516,433.46221223300176,False,
461,102344.203125,0.0,433.46221223300176,False,
462,101365.9765625,0.0,433.46221223300176,False,
463,102176.0390625,0.0,433.46221223300176,False,
464,101989.046875,0.0,433.46221223300176,False,
465,102466.8125,0.0,433.46221223300176,False,
466,102707.078125,0.0,433.46221223300176,False,
467,103160.8515625,0.0,433.46221223300176,False,
468,103758.25,0.0,433.46221223300176,False,
469,104519.9765625,0.0,433.46221223300176,False,
470,104457.0703125,0.0,433.46221223300176,False,
471,103260.90625,0.0,433.46221223300176,False,
473,104965.9921875,14.066066591694323,447.5282788246961,False,
475,106861.1796875,24.184858544510917,471.713137369207,False,
476,107031.34375,0.0,471.713137369207,False,
478,106772.2265625,0.0,471.713137369207,False,
479,105996.0078125,0.0,471.713137369207,False,
480,106143.8203125,0.0,471.713137369207,False,
481,105948.0,0.0,471.713137369207,False,
482,105799.9921875,0.0,471.713137369207,False,
483,105583.890625,0.0,471.713137369207,False,
484,105600.0078125,1.2133697219642272,472.92650709117123,False,
485,105578.40625,0.0,472.92650709117123,False,
486,105689.1484375,0.0,472.92650709117123,False,
487,105379.8125,0.0,472.92650709117123,False,
520,105263.5234375,0.49848263368971857,473.42498972486095,False,
521,105139.1796875,1.86096012160408,475.28594984646503,False,
522,105927.78125,4.974634634043753,480.2605844805088,False,
524,103770.0390625,-7.81194896419629,472.4486355163125,False,
525,103284.4765625,-6.813152137408849,465.63548337890364,False,
526,103079.078125,-17.546596060242564,448.0888873186611,False,
527,103978.8203125,-5.7099803660226485,442.37890695263843,False,
528,103910.34375,-4.031925282530096,438.34698167010833,False,
532,103891.75,-6.434766249292068,431.91221542081627,False,
533,104631.9921875,0.0,431.91221542081627,False,
534,105222.1484375,0.0,431.91221542081627,False,
535,104991.0078125,0.0,431.91221542081627,False,
536,105046.796875,0.0,431.91221542081627,False,
537,105500.7578125,0.0,431.91221542081627,False,
538,105146.671875,0.0,431.91221542081627,False,
539,105416.75,0.0,431.91221542081627,False,
540,105420.1015625,0.0,431.91221542081627,False,
541,105526.578125,0.0,431.91221542081627,False,
605,100410.0390625,-461.35037955661585,-29.438164135799582,True,stop_loss
606,100374.078125,0.0,-29.438164135799582,False,
607,98956.3203125,-29.51625735272779,-58.95442148852737,True,stop_loss
608,99048.0234375,0.0,-58.95442148852737,False,
609,99043.7734375,0.0,-58.95442148852737,False,
610,99424.3828125,0.0,-58.95442148852737,False,
611,98392.7421875,0.0,-58.95442148852737,False,
612,98761.1328125,0.0,-58.95442148852737,False,
614,100483.9921875,0.0,-58.95442148852737,False,
615,101920.890625,128.6361115291972,69.68169004066982,True,take_profit
616,101112.03125,0.0,69.68169004066982,False,
617,99744.0,0.0,69.68169004066982,False,
618,99150.0078125,-49.88317439513496,19.798515645534863,True,stop_loss
619,99180.0,0.0,19.798515645534863,False,
620,99700.0234375,0.0,19.798515645534863,False,
621,101386.5,0.0,19.798515645534863,False,
622,101349.671875,0.0,19.798515645534863,False,
623,101637.1796875,0.0,19.798515645534863,False,
624,102082.828125,0.0,19.798515645534863,False,
625,101856.0078125,0.0,19.798515645534863,False,
626,101382.671875,0.0,19.798515645534863,False,
627,102402.0078125,0.0,19.798515645534863,False,
628,102636.3203125,155.42614599429993,175.22466163983478,True,take_profit
629,102901.453125,0.0,175.22466163983478,False,
630,103014.59375,0.0,175.22466163983478,False,
631,102744.3828125,0.0,175.22466163983478,False,
632,102789.71875,0.0,175.22466163983478,False,
633,102851.2265625,0.0,175.22466163983478,False,
634,102955.9921875,0.0,175.22466163983478,False,
645,101264.4765625,-164.5291616579454,10.695499981889384,True,stop_loss
646,100334.0078125,0.0,10.695499981889384,False,
647,101265.6328125,0.0,10.695499981889384,False,
648,101335.5234375,0.0,10.695499981889384,False,
649,101702.59375,0.0,10.695499981889384,False,
650,101845.0234375,0.0,10.695499981889384,False,
668,103583.9921875,210.94098650299713,221.63648648488652,True,take_profit
669,104193.9296875,0.0,221.63648648488652,False,
670,103741.109375,0.0,221.63648648488652,False,
671,103492.0625,0.0,221.63648648488652,False,
672,103733.2421875,0.0,221.63648648488652,False,
673,104026.0390625,0.0,221.63648648488652,False,
715,102627.2890625,-126.01335227342388,95.62313421146264,True,stop_loss
716,102312.3203125,0.0,95.62313421146264,False,
717,101680.0234375,0.0,95.62313421146264,False,
718,102148.7265625,0.0,95.62313421146264,False,
719,102261.296875,0.0,95.62313421146264,False,
720,102429.5625,0.0,95.62313421146264,False,
743,100666.90625,-153.98545264921646,-58.362318437753814,True,stop_loss
744,100635.6484375,0.0,-58.362318437753814,False,
745,101243.859375,0.0,-58.362318437753814,False,
746,101248.3828125,0.0,-58.362318437753814,False,
747,100452.15625,0.0,-58.362318437753814,False,
748,99206.859375,-114.70841433252131,-173.07073277027513,True,stop_loss
749,99538.6015625,0.0,-173.07073277027513,False,
750,100259.53125,0.0,-173.07073277027513,False,
751,100265.1484375,0.0,-173.07073277027513,False,
752,99643.296875,0.0,-173.07073277027513,False,
753,99831.0390625,0.0,-173.07073277027513,False,
754,99690.78125,0.0,-173.07073277027513,False,
757,98178.0,-168.5728073645127,-341.6435401347878,True,stop_loss
758,98795.8828125,0.0,-341.6435401347878,False,
759,99205.078125,0.0,-341.6435401347878,False,
760,99346.8671875,0.0,-341.6435401347878,False,
761,98264.0,0.0,-341.6435401347878,False,
762,97228.8515625,-134.27919104265226,-475.9227311774401,True,stop_loss
763,97087.921875,0.0,-475.9227311774401,False,
764,98273.15625,0.0,-475.9227311774401,False,
765,97798.0,0.0,-475.9227311774401,False,
766,97020.5390625,0.0,-475.9227311774401,False,
767,97994.4609375,0.0,-475.9227311774401,False,
768,97700.59375,-0.044261092619251485,-475.96699227005934,False,
769,96511.328125,-3.8721385638651213,-479.83913083392446,False,
770,93435.8203125,-385.01377528747156,-864.852906121396,True,stop_loss
771,93566.0078125,0.0,-864.852906121396,False,
772,94038.7421875,0.0,-864.852906121396,False,
773,92786.53125,0.0,-864.852906121396,False,
774,94216.0,0.0,-864.852906121396,False,
775,93911.0390625,0.0,-864.852906121396,False,
776,95333.0078125,0.0,-864.852906121396,False,
777,95340.0,0.0,-864.852906121396,False,
778,95277.0,0.0,-864.852906121396,False,
779,95702.671875,0.0,-864.852906121396,False,
780,95107.890625,0.0,-864.852906121396,False,
781,94764.0078125,0.0,-864.852906121396,False,
782,94664.5078125,0.0,-864.852906121396,False,
783,96589.5,0.0,-864.852906121396,False,
784,98842.0,198.2253736040136,-666.6275325173824,True,take_profit
785,98543.078125,0.0,-666.6275325173824,False,
786,99206.3828125,0.0,-666.6275325173824,False,
787,99816.046875,0.0,-666.6275325173824,False,
788,101880.0,0.0,-666.6275325173824,False,
789,101083.0,0.0,-666.6275325173824,False,
790,101802.546875,0.0,-666.6275325173824,False,
791,101695.6171875,0.0,-666.6275325173824,False,
792,101328.5234375,6.120206291266186,-660.5073262261162,False,
793,101058.0078125,0.0,-660.5073262261162,False,
794,101382.6796875,0.0,-660.5073262261162,False,
795,100839.9921875,0.0,-660.5073262261162,False,
796,100629.703125,0.0,-660.5073262261162,False,
797,100053.1171875,0.0,-660.5073262261162,False,
798,98865.9921875,0.0,-660.5073262261162,False,
799,99367.578125,-7.699048323127954,-668.2063745492442,False,
800,98448.0234375,0.0,-668.2063745492442,False,
802,98338.2265625,0.0,-668.2063745492442,False,
803,98779.90625,0.0,-668.2063745492442,False,
804,98967.703125,0.0,-668.2063745492442,False,
805,99362.0390625,0.0,-668.2063745492442,False,
806,99007.21875,0.0,-668.2063745492442,False,
807,99984.71875,0.0,-668.2063745492442,False,
