step,raw_action,target_weight,position_weight,risk_multiplier,forced_exit,exit_reason
49,0.7845413088798523,0.39227065443992615,0.2,1.0,False,
50,0.279788076877594,0.3398340664274018,0.3398340664274018,1.0,False,
51,0.3321710526943207,0.5058972299784164,0.5058972299784164,1.0,False,
52,0.7397735118865967,0.8757849823959505,0.7058982264526521,1.0,False,
53,0.7517150044441223,1.0,0.9059394838201813,1.0,False,
54,0.45633676648139954,1.0,1.0,1.0,False,
55,0.8078504204750061,1.0,1.0,1.0,False,
56,0.7758464813232422,1.0,1.0,1.0,False,
57,0.6701443791389465,1.0,1.0,1.0,False,
58,0.5928232073783875,1.0,1.0,1.0,False,
59,0.5778757929801941,1.0,1.0,1.0,False,
60,0.6843763589859009,1.0,1.0,1.0,False,
61,0.7576836943626404,1.0,1.0,1.0,False,
62,0.9670429825782776,1.0,1.0,1.0,False,
63,0.5999422669410706,1.0,1.0,1.0,False,
64,0.7135710120201111,1.0,1.0,1.0,False,
65,0.4540109634399414,1.0,1.0,1.0,False,
66,0.6500755548477173,1.0,1.0,1.0,False,
67,0.2259683609008789,1.0,1.0,1.0,False,
68,0.5036023259162903,1.0,1.0,1.0,False,
69,0.6057389378547668,1.0,1.0,1.0,False,
70,0.7824050784111023,1.0,1.0,1.0,False,
71,0.6816170811653137,1.0,1.0,1.0,False,
72,0.48547059297561646,1.0,1.0,1.0,False,
73,1.0,1.0,1.0,1.0,False,
74,0.6907789707183838,1.0,1.0,1.0,False,
75,0.554007887840271,1.0,1.0,1.0,False,
76,0.4300157427787781,1.0,1.0,1.0,False,
77,1.0,1.0,1.0,1.0,False,
78,0.44063615798950195,1.0,1.0,1.0,False,
79,0.7846123576164246,1.0,1.0,1.0,False,
80,0.6874417066574097,1.0,1.0,1.0,False,
81,0.5398963093757629,1.0,1.0,1.0,False,
82,0.5449417233467102,1.0,1.0,1.0,False,
83,0.6488637328147888,1.0,1.0,1.0,False,
84,0.5236828327178955,1.0,1.0,1.0,False,
85,0.38148969411849976,1.0,1.0,1.0,False,
86,0.7518206238746643,1.0,1.0,1.0,False,
87,0.446649968624115,1.0,1.0,1.0,False,
88,0.23963196575641632,1.0,1.0,1.0,False,
89,0.3150303363800049,1.0,1.0,1.0,False,
90,0.40378138422966003,1.0,1.0,1.0,False,
91,0.2360413670539856,1.0,1.0,1.0,False,
92,0.6670432686805725,1.0,1.0,1.0,False,
93,0.360921174287796,1.0,1.0,1.0,False,
94,0.1818488985300064,1.0,1.0,1.0,False,
95,0.6054211854934692,1.0,1.0,1.0,False,
96,1.0,1.0,1.0,1.0,False,
97,0.4223089814186096,1.0,1.0,1.0,False,
98,0.7394528985023499,1.0,1.0,1.0,False,
99,0.6130731701850891,1.0,1.0,1.0,False,
100,0.41981858015060425,1.0,1.0,1.0,False,
101,0.7527265548706055,1.0,0.0,1.0,True,take_profit
102,0.4979965090751648,0.2489982545375824,0.2,1.0,False,
103,0.5973443388938904,0.49861219743555,0.39994002798860484,1.0,False,
104,0.8051695823669434,0.8025048190745525,0.5999200278910809,1.0,False,
105,1.0,1.0,0.7999400826220397,1.0,False,
106,0.34050658345222473,0.9702535842884781,0.9702535842884781,1.0,False,
107,0.8799541592597961,1.0,0.0,1.0,True,stop_loss
108,0.4129696488380432,0.2064848244190216,0.2,1.0,False,
109,0.22076524794101715,0.3103226519591134,0.3103226519591134,1.0,False,
110,0.5698819756507874,0.5952426879835826,0.5103017001581889,1.0,False,
111,0.8478031158447266,0.9342053357692695,0.0,1.0,True,take_profit
112,0.537054717540741,0.2685273587703705,0.2,1.0,False,
113,0.4194376468658447,0.40965885142152725,0.39994002798860484,1.0,False,
