step,raw_action,target_weight,position_weight,risk_multiplier,forced_exit,exit_reason
49,-0.2387634515762329,0.0,0.0,1.0,False,
50,-0.18733936548233032,0.0,0.0,1.0,False,
51,-0.004208370577543974,0.0,0.0,1.0,False,
52,-0.09283038228750229,0.0,0.0,1.0,False,
53,-0.2645115256309509,0.0,0.0,1.0,False,
54,-0.08929334580898285,0.0,0.0,1.0,False,
55,-0.03493653982877731,0.0,0.0,1.0,False,
56,-0.24385499954223633,0.0,0.0,1.0,False,
57,0.43866080045700073,0.21933040022850037,0.2,1.0,False,
58,-0.029209725558757782,0.18533516520922594,0.18533516520922594,1.0,False,
59,-0.14480432868003845,0.11293564169523745,0.11293564169523745,1.0,False,
60,0.07772188633680344,0.15180477746334775,0.15180477746334775,1.0,False,
61,0.29708558320999146,0.30033408125992533,0.30033408125992533,1.0,False,
62,0.16225981712341309,0.38143435212272475,0.38143435212272475,1.0,False,
63,0.2971855401992798,0.5300175363476087,0.5300175363476087,1.0,False,
64,0.12232714146375656,0.591185581084834,0.591185581084834,1.0,False,
65,0.08538980036973953,0.6338861527547466,0.6338861527547466,1.0,False,
66,0.42070019245147705,0.8442419539171591,0.8338918576914205,1.0,False,
67,-0.031906258314847946,0.8180052817656379,0.8180052817656379,1.0,False,
68,0.3773689270019531,1.0,1.0,1.0,False,
69,0.12240850180387497,1.0,1.0,1.0,False,
70,0.3182438015937805,1.0,1.0,1.0,False,
71,0.263541579246521,1.0,1.0,1.0,False,
72,0.27845409512519836,1.0,1.0,1.0,False,
73,-0.071363665163517,0.9643181674182415,0.9643181674182415,1.0,False,
74,0.3365527391433716,1.0,1.0,1.0,False,
75,0.2770381569862366,1.0,1.0,1.0,False,
76,0.17261208593845367,1.0,1.0,1.0,False,
77,0.15772590041160583,1.0,1.0,1.0,False,
78,0.18157163262367249,1.0,1.0,1.0,False,
79,-0.09649776667356491,0.9517511166632175,0.9517511166632175,1.0,False,
80,0.06252358108758926,0.9830588188700062,0.9830588188700062,1.0,False,
81,0.23760248720645905,1.0,1.0,1.0,False,
82,-0.2424715757369995,0.8787642121315002,0.8787642121315002,1.0,False,
83,0.10845120251178741,0.9330963373358706,0.9330963373358706,1.0,False,
84,-0.09064912050962448,0.8877952239335847,0.8877952239335847,1.0,False,
85,0.4642588794231415,1.0,1.0,1.0,False,
86,0.3540382981300354,1.0,1.0,1.0,False,
87,0.012774132192134857,1.0,1.0,1.0,False,
88,0.01565452478826046,1.0,1.0,1.0,False,
89,0.24581781029701233,1.0,1.0,1.0,False,
90,-0.21011477708816528,0.8949426114559174,0.8949426114559174,1.0,False,
91,-0.09653224050998688,0.8467704979031265,0.8467704979031265,1.0,False,
