step_return,reward_return,drawdown_penalty,overtrade_penalty,total_reward
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
-1.2611302105142386e-05,-0.0012611295419267317,1.2611302105142386e-06,0.0001261445414274931,-0.001388535213564739
7.378644286562398e-07,7.378644273171537e-05,1.187344698191737e-06,0.0001260830907491023,-5.3483992715578675e-05
0.0,0.0,1.187344698191737e-06,0.0,-1.187344698191737e-06
0.0,0.0,1.187344698191737e-06,0.0,-1.187344698191737e-06
0.0,0.0,1.187344698191737e-06,0.0,-1.187344698191737e-06
0.0,0.0,1.187344698191737e-06,0.0,-1.187344698191737e-06
0.0,0.0,1.187344698191737e-06,0.0,-1.187344698191737e-06
0.0,0.0,1.187344698191737e-06,0.0,-1.187344698191737e-06
0.0,0.0,1.187344698191737e-06,0.0,-1.187344698191737e-06
0.0,0.0,1.187344698191737e-06,0.0,-1.187344698191737e-06
-2.777876058546599e-05,-0.002777868913320119,3.965187773774232e-06,0.0002778570353984833,-0.0030596911364923767
8.712049154483757e-06,0.0008712046950341784,3.094017403236649e-06,0.000277725891191368,0.0005903847864395738
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
0.0,0.0,3.094017403236649e-06,0.0,-3.094017403236649e-06
