step,price,capital,cash,drawdown,realized_pnl,unrealized_pnl,reward,weights,forced_exit,exit_reason
2035,87206.5234375,9998.66631232741,9999.40741461269,0.00013336876725898036,0.0,-0.7411022852799208,-0.01339880502092963,[-0.04941340922414161],False,
2036,87060.40625,9998.854930396925,9036.279644614338,0.00011450696030751714,1.0025160947095941,-0.4812876428911655,0.0017292713578650066,[0.09626855199752103],False,
2037,87307.5703125,10000.715615417963,9907.687104756662,0.0,2.600857934994937,0.21697722877941528,0.01851986612746004,[0.009302185387401737],False,
2038,87568.6796875,10000.993834319132,9907.687104756662,0.0,2.600857934994937,0.49519612994697526,0.0027726805657922234,[0.009329745734096959],True,stop_loss
2039,87350.7109375,9999.893574117881,9039.027274161144,0.00011001508644818868,2.600857934994937,-0.17095121243550446,-0.0110988592790255,[0.09608765261699267],False,
2040,87232.0078125,9997.312188861048,7762.431106307755,0.0003681279599883481,2.600857934994937,-2.114357374889004,-0.025972703504053923,[0.2235481937878648],False,
2041,87354.0078125,9998.924662963598,6248.134379401405,0.00020689657346181819,2.600857934994937,0.2548867061258267,0.015955398011357733,[0.3751193663309881],False,
2042,87230.2890625,9992.79547558727,5430.547100846599,0.0008197544031801796,2.600857934994937,-5.465711325597186,-0.06138521764624051,[0.45655376274701054],False,
2043,86987.7734375,9978.374797612318,3692.4234414255316,0.0022616788972706896,2.600857934994937,-19.017761784597127,-0.143716787454739,[0.6299574313134564],False,
2044,86787.15625,9962.844378960237,2658.3231959372815,0.0038145664311862635,2.600857934994937,-34.03138870979781,-0.15488072358403146,[0.7331762803049309],False,
2045,86305.3828125,9915.033316229108,9915.033316229108,0.008595197588768004,-75.61142336071336,0.0,-0.4477511718599568,[0.0],True,take_profit
2046,86059.0234375,9913.459428451843,8339.965024786407,0.008752570726212069,-75.61142336071336,-0.7867472018326968,-0.016906452908496107,[0.15872303861449952],False,
2047,85719.2734375,9905.276108909355,6367.121169479032,0.009570821359904716,-75.61142336071336,-7.984137781148595,-0.0835161671226373,[0.3571990220694514],False,
2048,85212.9921875,9880.862429038702,9880.862429038702,0.01201194673955207,-106.25149150798174,0.0,-0.24315733262370134,[0.0],True,stop_loss
2049,85213.8671875,9878.886750349116,7903.7018569880565,0.012209494975488918,-106.25149150798174,-0.98759244668053,-0.021413287754205264,[0.19994002798860488],False,
2050,85148.0,9876.423942043659,6966.936775085472,0.01245575133223282,-106.25149150798174,-2.9822522854215343,-0.026265098870669613,[0.29458913307402507],False,
2051,84941.4921875,9867.389261913857,4987.096218551812,0.013359129564383985,-106.25149150798174,-11.027506849739051,-0.09275884201724284,[0.494588073280842],False,
2052,85255.2578125,9884.627775787092,4197.689766710075,0.011635449482302542,-106.25149150798174,6.605512996430673,0.17170168060326768,[0.5753315287205317],False,
2053,85028.2734375,9869.020939019996,3731.459117939709,0.01319597806832566,-106.25149150798174,-8.7683249456932,-0.15795706820094024,[0.621901793400162],False,
2054,84994.0,9864.702220088016,1885.3023087933434,0.013627807044877939,-106.25149150798174,-12.16442678164676,-0.045282151669068314,[0.8088840122356453],False,
2055,84172.0078125,9779.631761124243,9779.631761124243,0.02213400756585497,-199.53723795758864,0.0,-0.7005002061134998,[0.0],True,stop_loss
2056,84051.15625,9778.779112880467,8926.343977888313,0.02221926391716374,-199.53723795758864,-0.42621756749609396,-0.011027526382911799,[0.08717193886395691],False,
2057,83794.7265625,9776.178438659761,8926.343977888313,0.0224793054954099,-199.53723795758864,-3.0268917882038977,-0.02884569969690665,[0.08692910692083816],False,
2058,84008.453125,9776.392821859325,6971.677086952994,0.02245786930585562,-199.53723795758864,-1.8356635656845768,-0.0002528763033681499,[0.28688656296984955],False,
2059,83880.0,9771.169655488562,6036.360282040174,0.022980134038470382,-199.53723795758864,-6.591405246334895,-0.05576890513233759,[0.3822274615148565],False,
2060,83790.7265625,9766.182321164022,7047.979840064173,0.023478817910009782,-202.9115006626427,-7.698414055401792,-0.05344885523511202,[0.27832804996987504],False,
2061,83794.40625,9764.34900545907,5093.829060944287,0.023662131262195008,-202.9115006626427,-8.555142664343935,-0.021336089901088172,[0.4783237409788998],False,
2062,84052.2890625,9776.775079404124,3144.60885770624,0.02241964735000483,-202.9115006626427,4.845054320807766,0.12413509139008186,[0.6783592920808096],False,
2063,84480.3515625,9809.094530888862,1686.5923409815316,0.019188023371412656,-202.9115006626427,37.89314974194059,0.31696776513330466,[0.8280583049056721],False,
2064,84424.3828125,9803.713323471597,1686.5923409815316,0.019726090638167645,-202.9115006626427,32.51194232467445,-0.05678658338681044,[0.8279639270006426],False,
2065,84396.890625,9800.556549637326,2199.6995552731373,0.020041736651610662,-201.27771950453814,27.978069280420343,-0.03424527777677855,[0.7755536081923289],False,
2066,84281.8984375,9789.464621409626,2934.780201114673,0.021150819249945673,-199.93738885728678,15.913534590482024,-0.11488623148053488,[0.700210347081056],False,
2067,83851.3984375,9754.311789844285,3074.749559871928,0.0246657530802928,-200.39983508187458,-18.706831061049034,-0.34689283165425505,[0.6847804718449529],False,
2068,84166.296875,9779.296272682997,2974.498583344527,0.0221675530761116,-200.39983508187458,6.327752215708298,0.2484517739801518,[0.6958371542895837],False,
2069,84072.9609375,9769.863051251317,1086.0197045353202,0.023110781478003946,-200.39983508187458,-2.161701660342213,-0.09866708046831003,[0.8888398231543048],False,
2070,84012.640625,9762.547398315248,0.0,0.023842274073366348,-200.39983508187458,-8.934616113386472,-0.0772355408502327,[1.0],False,
2071,83787.28125,9735.911054780503,448.5003441242974,0.026505643732023697,-202.24381104672582,-33.50262133004188,-0.26896414290003473,[0.9539333975422798],False,
2072,83731.8203125,9729.315316668477,0.0,0.027165151999031356,-202.24381104672582,-39.874221339055474,-0.07040561997141295,[1.0],False,
2073,83934.953125,9752.918567817182,0.0,0.024805061438060463,-202.24381104672582,-16.270970190350237,0.23546888617944808,[1.0],False,
2074,83544.796875,9707.583912905204,0.0,0.029338076422672166,-202.24381104672582,-61.60562510232822,-0.4369477721030373,[1.0],False,
2075,82927.8125,9626.259218983067,9626.259218983067,0.037469737662484716,-340.3585926930115,0.0,-0.6893592170718336,[0.0],True,stop_loss
2076,82293.5625,9625.37789789092,8744.27708094881,0.037557861013698346,-340.3585926930115,-0.44055040847095245,-0.013002492033243735,[0.09153934799122777],False,
2077,82462.703125,9625.26554106286,6819.522595473874,0.0375690955799746,-340.3585926930115,0.40898905805844415,-0.005124206865386991,[0.2914977185428552],False,
2078,82851.953125,9636.591694635881,4900.244928531733,0.03643659277468787,-340.3585926930115,12.694301884926201,0.11328729831413718,[0.4914960513207789],False,
2079,82504.0078125,9614.76794685662,2965.823479249938,0.03861875068227213,-340.3585926930115,-8.16271853337445,-0.2267355289079237,[0.6915345751823827],False,
2080,82414.2265625,9605.609276474783,1041.1232285762228,0.03953452670749163,-340.3585926930115,-16.35951972447278,-0.09912266478728005,[0.8916129941776779],False,
2081,82198.4296875,9582.143323304172,0.0,0.04188088883503199,-340.3585926930115,-39.3051714315252,-0.24384422119454938,[1.0],False,
2082,82332.6328125,9597.787826284026,0.0,0.0403165940020356,-340.3585926930115,-23.660668451672514,0.15780020996940528,[1.0],False,
2083,82343.640625,9599.071043462895,0.0,0.04018828503593413,-340.3585926930115,-22.37745127280347,0.00935030141563285,[1.0],False,
2084,82758.3984375,9647.420736017173,0.0,0.0353537962485935,-340.3585926930115,25.972241281475217,0.461479891190909,[1.0],False,
2085,82511.171875,9618.600716410849,0.0,0.038235511814443214,-340.3585926930115,-2.847778324849051,-0.29397616476057287,[1.0],False,
2086,82518.7421875,9619.483212824138,0.0,0.03814727094279496,-340.3585926930115,-1.9652819115601206,0.00535990940099146,[1.0],False,
2087,82389.75,9604.446166095744,0.0,0.03965082618715408,-340.3585926930115,-17.002328639953863,-0.15902281755274084,[1.0],False,
2088,82648.5390625,9634.614064640837,0.0,0.03663433612177985,-340.3585926930115,13.165569905139876,0.3005021254832779,[1.0],False,
2089,82799.7265625,9652.238492494262,0.0,0.03487206847664387,-340.3585926930115,30.78999775856339,0.17742753178168016,[1.0],False,
2090,82941.1328125,9668.722687623807,0.0,0.0332238127729978,-340.3585926930115,47.27419288810895,0.16581747907016323,[1.0],False,
2091,83330.0,9714.054224230056,0.0,0.028691109587971286,-340.3585926930115,92.60572949435924,0.43439830105876426,[1.0],False,
2092,83088.8125,9685.938198150536,0.0,0.0315024327969746,-340.3585926930115,64.48970341483822,-0.2847663994846264,[1.0],False,
2093,83109.8125,9688.386237736626,0.0,0.03125765316540544,-340.3585926930115,66.93774300092764,0.022143015194479275,[1.0],False,
2094,82958.296875,9670.723559264668,0.0,0.033023745492284665,-340.3585926930115,49.27506452897147,-0.1836168806588686,[1.0],False,
2095,83178.140625,9696.351473681543,0.0,0.030461208724295592,-340.3585926930115,74.90297894584506,0.25592489747778574,[1.0],False,
2096,83076.59375,9684.513817974701,0.0,0.031644856659985794,-340.3585926930115,63.065323239003455,-0.12464515984881676,[1.0],False,
2097,83378.09375,9719.660672032127,0.0,0.028130520521029576,-340.3585926930115,98.2121772964301,0.3449687348579783,[1.0],False,
2098,83502.3203125,9734.142174062785,0.0,0.02668251422579885,-340.3585926930115,112.69367932708776,0.14523082976035354,[1.0],False,
2099,83120.8671875,9689.67491928957,0.0,0.0311287978161979,-340.3585926930115,68.22642455387277,-0.4305996343330139,[1.0],False,
2100,83111.7578125,9688.613009260784,0.0,0.031234978266498934,-340.3585926930115,67.16451452508547,-0.014082250586697652,[1.0],False,
2101,83072.7578125,9684.066650029474,0.0,0.031689569010841634,-340.3585926930115,62.61815529377655,-0.05005931402358254,[1.0],False,
2102,82678.421875,9638.097603114345,0.0,0.036286016891589466,-340.3585926930115,16.649108378648812,-0.4456074800338568,[1.0],False,
2103,82803.28125,9652.652874195031,0.0,0.034830634424425196,-340.3585926930115,31.204379459333737,0.14639734291567033,[1.0],False,
2104,82729.5703125,9644.060145960377,0.0,0.03568982185889477,-340.3585926930115,22.611651224678358,-0.09235392589519599,[1.0],False,
2105,82284.0078125,9592.119448909092,0.0,0.04088337541084742,-340.3585926930115,-29.32904582660575,-0.4959984475059592,[1.0],False,
2106,82415.53125,9607.451571837595,0.0,0.0393503154787545,-340.3585926930115,-13.996922898103016,0.15455830083798922,[1.0],False,
2107,82729.6484375,9644.069253250502,0.0,0.03568891122038465,-340.3585926930115,22.62075851480518,0.3601267515456405,[1.0],False,
2108,82548.8125,9622.98860879395,0.0,0.037796766180179915,-340.3585926930115,1.5401140582531865,-0.2189502005038301,[1.0],False,
2109,82554.7265625,9623.67803065655,0.0,0.037727830844950086,-340.3585926930115,2.2295359208535173,0.0033914160581454225,[1.0],False,
2110,82237.6796875,9586.718825863887,0.0,0.04142338404745635,-340.3585926930115,-34.72966887181045,-0.3703570482860978,[1.0],False,
2111,82438.0,9610.070828478069,0.0,0.03908841584319176,-340.3585926930115,-11.377666257629366,0.23497212312324137,[1.0],False,
2112,82389.9921875,9604.474398695136,0.0,0.039648003207772245,-340.3585926930115,-16.974096040560717,-0.06213411064494638,[1.0],False,
2113,81646.890625,9517.848587195856,0.0,0.0483097235262087,-340.3585926930115,-103.59990753984165,-0.7220681820763538,[1.0],False,
2114,81953.03125,9553.536414286815,0.0,0.04474129545974065,-340.3585926930115,-67.91208044888187,0.3538456764032013,[1.0],False,
2115,81922.296875,9549.953606350924,0.0,0.04509954064969328,-340.3585926930115,-71.49488838477315,-0.04199480853616421,[1.0],False,
