step,capital
49,10000.0
50,10000.0
51,10000.0
52,10000.0
53,10000.0
54,10000.0
55,10000.0
56,10000.0
57,10000.0
58,10000.0
59,10000.0
60,10000.0
61,10000.0
62,10000.0
63,10000.0
64,10000.0
65,10000.0
66,10000.0
67,10000.0
68,10000.0
69,10000.0
70,10000.0
71,10000.0
72,10000.0
73,10000.0
74,10000.0
75,10000.0
76,10000.0
77,10000.0
78,10000.0
79,10000.0
80,10000.0
81,10000.0
82,10000.0
83,10000.0
84,10000.0
85,10000.0
86,10000.0
87,10000.0
88,10000.0
89,10000.0
90,10000.0
91,10000.0
92,10000.0
93,10000.0
94,10000.0
95,10000.0
96,10000.0
97,10000.0
98,10000.0
99,10000.0
100,10000.0
101,10000.0
102,9998.000499750126
103,9994.241808907098
104,9994.241808907098
105,9994.241808907098
106,9994.241808907098
107,9993.877810014712
108,9995.325056659069
109,9995.325056659069
110,9995.325056659069
111,9995.325056659069
112,9995.325056659069
113,9995.325056659069
114,9995.325056659069
115,9995.325056659069
116,9995.325056659069
117,9995.325056659069
118,9995.325056659069
119,9995.325056659069
120,9995.325056659069
121,9995.325056659069
122,9995.325056659069
123,9995.325056659069
124,9995.325056659069
125,9995.325056659069
126,9995.325056659069
127,9995.325056659069
128,9995.325056659069
129,9995.325056659069
130,9995.325056659069
131,9995.325056659069
132,9995.325056659069
133,9995.325056659069
134,9995.325056659069
135,9995.325056659069
136,9995.325056659069
137,9995.325056659069
138,9995.325056659069
139,9995.325056659069
140,9995.325056659069
141,9995.325056659069
142,9995.325056659069
143,9995.325056659069
144,9995.325056659069
145,9995.325056659069
146,9995.325056659069
147,9995.325056659069
148,9995.325056659069
149,9995.325056659069
150,9995.325056659069
151,9995.325056659069
152,9995.325056659069
153,9995.325056659069
154,9995.325056659069
155,9995.325056659069
156,9995.325056659069
157,9994.549651418265
158,9997.822715548667
159,9997.822715548667
160,9995.823650646873
161,9979.066620011845
162,9979.066620011845
163,9979.066620011845
164,9979.066620011845
165,9979.066620011845
166,9979.066620011845
167,9979.066620011845
168,9979.066620011845
169,9979.066620011845
170,9979.066620011845
171,9979.066620011845
172,9979.066620011845
173,9979.066620011845
174,9979.066620011845
175,9979.066620011845
176,9979.066620011845
177,9979.066620011845
178,9977.07130539182
179,9974.716608660481
180,9973.946015779095
181,9973.946015779095
182,9971.951725024017
183,9989.424086314222
184,9995.902446024005
185,9995.902446024005
186,9995.902446024005
187,9995.902446024005
188,9995.902446024005
189,9995.902446024005
190,9995.902446024005
191,9995.902446024005
192,9995.902446024005
193,9995.902446024005
194,9995.902446024005
195,9995.902446024005
196,9995.902446024005
197,9995.902446024005
198,9995.902446024005
199,9995.902446024005
200,9995.902446024005
201,9995.902446024005
202,9995.902446024005
203,9995.902446024005
204,9995.902446024005
205,9995.902446024005
206,9995.902446024005
207,9995.902446024005
208,9995.902446024005
209,9995.902446024005
210,9993.9479352663
211,9973.013746705314
212,9973.013746705314
213,9973.013746705314
214,9973.013746705314
215,9972.5488697577
216,9971.880444621693
217,9971.880444621693
218,9971.880444621693
219,9971.880444621693
220,9971.880444621693
221,9971.880444621693
222,9969.886566877618
223,9964.71905696571
224,9964.71905696571
225,9964.71905696571
226,9964.71905696571
227,9964.71905696571
228,9964.71905696571
229,9964.71905696571
230,9964.71905696571
231,9962.726611141277
232,9957.951908846087
233,9956.976760298978
234,9956.976760298978
235,9954.985862546957
236,9952.43637826194
237,9952.43637826194
238,9950.44638835942
239,9941.181835499076
240,9939.454270350905
241,9934.362625317997
242,9934.362625317997
243,9934.362625317997
244,9934.362625317997
245,9934.362625317997
246,9934.362625317997
247,9934.362625317997
248,9934.362625317997
249,9934.362625317997
250,9934.362625317997
251,9934.362625317997
252,9934.362625317997
253,9934.362625317997
254,9934.362625317997
255,9934.362625317997
256,9934.362625317997
257,9934.362625317997
258,9934.362625317997
259,9934.362625317997
260,9934.362625317997
261,9934.362625317997
262,9934.362625317997
263,9934.362625317997
264,9934.362625317997
265,9934.362625317997
266,9934.362625317997
267,9934.362625317997
268,9934.362625317997
269,9932.37624926283
270,9923.631661549747
271,9923.631661549747
272,9923.631661549747
273,9923.631661549747
274,9923.631661549747
275,9923.631661549747
276,9923.631661549747
277,9923.631661549747
278,9923.631661549747
279,9923.631661549747
280,9923.631661549747
281,9923.495371519295
282,9924.314007633375
283,9924.314007633375
284,9924.314007633375
285,9924.314007633375
286,9924.314007633375
287,9922.474270136063
288,9923.301433894187
289,9918.784205538195
290,9923.273371778603
291,9923.148518241307
292,9922.424257717003
293,9925.946477033509
294,9925.262618842135
295,9925.401887954971
296,9925.401887954971
297,9925.401887954971
298,9924.778869995827
299,9921.195068891138
300,9921.195068891138
301,9921.195068891138
302,9921.195068891138
303,9921.195068891138
304,9921.195068891138
305,9921.195068891138
306,9921.195068891138
307,9921.195068891138
308,9921.195068891138
309,9921.195068891138
310,9921.195068891138
311,9921.195068891138
312,9920.657349138164
313,9921.592016498942
314,9926.421745239288
315,9905.994484884992
316,9911.844061989479
317,9911.844061989479
318,9911.844061989479
319,9911.844061989479
320,9911.844061989479
321,9909.862188521613
322,9900.401298909395
323,9902.737006059535
324,9898.336673784925
325,9896.357501119666
326,9935.589639376534
327,9935.589639376534
328,9935.589639376534
329,9935.589639376534
330,9935.393908156933
331,9936.784614886648
332,9936.784614886648
333,9936.784614886648
334,9936.784614886648
335,9936.784614886648
336,9936.784614886648
337,9936.784614886648
338,9936.784614886648
339,9936.784614886648
340,9936.784614886648
341,9936.784614886648
342,9936.784614886648
343,9936.784614886648
344,9936.784614886648
345,9936.784614886648
346,9936.784614886648
347,9936.784614886648
348,9936.784614886648
349,9936.784614886648
350,9936.784614886648
351,9936.784614886648
352,9936.784614886648
353,9936.784614886648
354,9936.784614886648
355,9936.784614886648
356,9936.784614886648
357,9936.784614886648
358,9936.784614886648
359,9936.784614886648
360,9936.784614886648
361,9936.784614886648
362,9936.784614886648
363,9936.784614886648
364,9936.784614886648
365,9936.784614886648
366,9936.784614886648
367,9936.784614886648
368,9936.784614886648
369,9936.784614886648
370,9936.784614886648
371,9936.784614886648
372,9936.784614886648
373,9936.784614886648
374,9936.784614886648
375,9936.784614886648
376,9936.784614886648
377,9936.784614886648
378,9936.784614886648
379,9936.784614886648
380,9936.784614886648
381,9936.784614886648
382,9936.784614886648
383,9936.784614886648
384,9936.784614886648
385,9936.784614886648
386,9936.784614886648
387,9936.784614886648
388,9936.784614886648
389,9936.784614886648
390,9936.784614886648
391,9936.784614886648
392,9936.784614886648
393,9936.784614886648
394,9936.784614886648
395,9936.784614886648
396,9936.784614886648
397,9936.784614886648
398,9936.784614886648
399,9936.784614886648
400,9936.784614886648
401,9936.784614886648
402,9936.784614886648
403,9936.784614886648
404,9936.784614886648
405,9936.784614886648
406,9936.784614886648
407,9936.784614886648
408,9936.784614886648
409,9936.784614886648
410,9936.784614886648
411,9936.784614886648
412,9936.784614886648
413,9936.784614886648
414,9936.784614886648
415,9936.784614886648
416,9936.784614886648
417,9936.784614886648
418,9936.784614886648
419,9936.784614886648
420,9936.784614886648
421,9936.784614886648
422,9936.784614886648
423,9936.784614886648
424,9936.784614886648
425,9936.784614886648
426,9936.784614886648
427,9936.784614886648
428,9936.784614886648
429,9936.784614886648
430,9936.784614886648
431,9936.784614886648
432,9936.784614886648
433,9936.784614886648
434,9936.784614886648
435,9936.784614886648
436,9936.784614886648
437,9936.784614886648
438,9936.784614886648
439,9936.784614886648
440,9936.784614886648
441,9936.784614886648
442,9936.784614886648
443,9936.784614886648
444,9936.784614886648
445,9936.784614886648
446,9936.784614886648
447,9936.328670559249
448,9923.59364120952
449,9923.59364120952
450,9923.59364120952
451,9923.59364120952
452,9923.59364120952
453,9923.59364120952
454,9923.59364120952
455,9923.59364120952
456,9922.565593965495
457,9910.771834230845
458,9910.771834230845
459,9910.771834230845
460,9910.771834230845
461,9910.771834230845
462,9910.771834230845
463,9910.771834230845
464,9910.771834230845
465,9910.771834230845
466,9910.771834230845
467,9910.771834230845
468,9910.771834230845
469,9910.771834230845
470,9910.771834230845
471,9910.771834230845
472,9910.771834230845
473,9910.771834230845
474,9910.771834230845
475,9910.771834230845
476,9910.771834230845
