step_return,reward_return,drawdown_penalty,overtrade_penalty,total_reward
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
-0.00019995002498744726,-0.019992338256644024,1.999500249874473e-05,0.0002,-0.02021233325914277
-0.00037594425436581234,-0.037576724198260046,5.7581910929020525e-05,0.00019994002798860483,-0.037834246137177674
0.0,0.0,5.7581910929020525e-05,0.0,-5.7581910929020525e-05
0.0,0.0,5.7581910929020525e-05,0.0,-5.7581910929020525e-05
0.0,0.0,5.7581910929020525e-05,0.0,-5.7581910929020525e-05
-3.642086106637956e-05,-0.003642070002886146,6.122189985288059e-05,3.642996400594712e-05,-0.003739721866744974
0.00014481332190257983,0.01448031998668794,4.67494334093135e-05,3.641308432276879e-05,0.014397157468955857
0.0,0.0,4.67494334093135e-05,0.0,-4.67494334093135e-05
0.0,0.0,4.67494334093135e-05,0.0,-4.67494334093135e-05
0.0,0.0,4.67494334093135e-05,0.0,-4.67494334093135e-05
0.0,0.0,4.67494334093135e-05,0.0,-4.67494334093135e-05
0.0,0.0,4.67494334093135e-05,0.0,-4.67494334093135e-05
0.0,0.0,4.67494334093135e-05,0.0,-4.67494334093135e-05
